Column1,year,city_x,id,province_x,province_id,Gdpct01,Gdpct02,Gdpct03,Gdpct04,GDP_PerCapita,Envirct04,Envirct06,Envirct09,Eect01,Eect02,Eect04,Fict03,Eicct01,bm,ccnl,egdp,hdmsp,hviirs,viirsl,viirsv1,viirsv2
107,1992,镇江市,321100,江苏省,320000,101.91,,,,2928,,,,259.91,75.02,676,,245600,,21289.0344,3934739160,38467.19216,,,,
108,1992,石家庄市,130100,河北省,130000,113.79,,,,3947,,,,290.01,121.55,891,,,,54091.93065,6931464791,98823.60392,,,,
109,1992,唐山市,130200,河北省,130000,189.19,,,,2844,,,,667.89,152.16,496,,,,55658.51788,8255119741,107683.1294,,,,
110,1992,秦皇岛市,130300,河北省,130000,68.92,,,,2746,,,,252.21,52.39,335,,,,20375.87391,2836481776,37503.90196,,,,
111,1992,邯郸市,130400,河北省,130000,69.96,,,,3269,,,,215.09,91.55,771,,,,57147.73115,7161117220,101022.8196,,,,
112,1992,邢台市,130500,河北省,130000,23.97,,,,2793,,,,86.92,33.81,412,,,,33577.63182,3738118952,63128.16471,,,,
113,1992,保定市,130600,河北省,130000,46.78,,,,2852,,,,171.15,55.26,943,,,,44037.79958,5728717634,83210.05098,,,,
114,1992,张家口市,130700,河北省,130000,39.87,,,,3894,,,,103.56,59.31,349,,,,17243.68175,4315515886,35167.2902,,,,
115,1992,承德市,130800,河北省,130000,20,,,,2360,,,,84.83,28.56,190,,,,7698.149783,2932046730,15782.08235,,,,
116,1992,廊坊市,131000,河北省,130000,81.86,,,,2373,,,,347.58,40.4,541,,,,34654.88821,5028743750,64479.79216,,,,
117,1992,沧州市,130900,河北省,130000,24.23,,,,1806,,,,135.07,31.15,501,,,,53141.38492,4837799371,98475.82353,,,,
118,1992,衡水市,131100,河北省,130000,58.3,,,,1495,,,,34.62,,587,,,,23745.11422,2017960132,46112.88235,,,,
119,1992,乌海市,150300,内蒙古自治区,150000,9.2703,,,,,,,,29.2934,26.88,125,,,,9707.111614,1477998475,18606.37647,,,,
120,1992,赤峰市,150400,内蒙古自治区,150000,55.0887,,,,,,,,416.0156,65.79,46,,,,11917.90812,5322129516,24204.93333,,,,
121,1992,呼伦贝尔市,150700,内蒙古自治区,150000,55.2564,,,,,,,,262.9152,,,,,,23652.73704,13254548079,48085.13333,,,,
122,1992,兴安盟,152200,内蒙古自治区,150000,15.4034,,,,,,,,156.1693,,,,,,3483.026338,2952741323,7577.156863,,,,
123,1992,锡林郭勒盟,152500,内蒙古自治区,150000,19.3484,,,,,,,,89.388,,,,,,3659.33952,8926005401,8336,,,,
124,1992,乌兰察布市,150900,内蒙古自治区,150000,29.1525,,,,,,,,329.1439,,,,,,4465.496947,3295440044,9323.52549,,,,
125,1992,鄂尔多斯市,150600,内蒙古自治区,150000,20.6843,,,,,,,,122.8183,,148,,,,10320.55184,6805211849,20547.61961,,,,
126,1992,巴彦淖尔市,150800,内蒙古自治区,150000,27.8911,,,,,,,,157.5119,,,,,,3649.47671,3555097402,8050.309804,,,,
127,1992,阿拉善盟,152900,内蒙古自治区,150000,4.9072,,,,,,,,16.3118,,,,,,2376.152813,9735279906,5390.415686,,,,
128,1992,呼和浩特市,150100,内蒙古自治区,150000,39.8298,,,,,,,,140.6084,72.1,231,,,,14119.05762,3565855585,26639.85882,,,,
129,1992,包头市,150200,内蒙古自治区,150000,58.8821,,,,,,,,176.8039,107.69,177,,,,18405.89571,4374317731,35494.39216,,,,
130,1992,太原市,140100,山西省,140000,117.0257,,,,,,,,267.024,167.65,382,,,,36328.63546,5320168883,65570.81176,,,,
131,1992,大同市,140200,山西省,140000,51.5443,,,,,,,,113.3136,81.39,545,,,,27417.07805,4308397177,51431.42353,,,,
132,1992,阳泉市,140300,山西省,140000,32.8524,,,,,,,,116.8772,43.83,263,,,,13370.69803,1631637086,25083.96471,,,,
133,1992,长治市,140400,山西省,140000,48.0766,,,,,,,,,,211,,,,23629.35643,3834394999,44697.59608,,,,
134,1992,晋城市,140500,山西省,140000,39.0067,,,,,,,,196.923,26.59,208,,,,34989.81451,3432918153,62534.76863,,,,
135,1992,朔州市,140600,山西省,140000,15.5743,,,,,,,,65.7791,10.4,115,,,,12821.12665,2365570459,25802.3098,,,,
136,1992,忻州市,140900,山西省,140000,28.1495,,,,,,,,275.8496,39.09,227,,,,16260.89216,2855470129,32911.07843,,,,
137,1992,吕梁市,141100,山西省,140000,30.4837,,,,,,,,307.3672,38.64,,,,,32902.59239,5244459454,61798.27059,,,,
138,1992,临汾市,141000,山西省,140000,47.9225,,,,,,,,358.2323,61.12,464,,,,52042.41248,6345262565,95002.5451,,,,
139,1992,运城市,140800,山西省,140000,49.4123,,,,,,,,436.7012,51.48,410,,,,27091.95414,3148979613,52192.49804,,,,
140,1992,海南藏族自治州,632500,青海省,630000,6.8565,,,,,,,,,,,,,,584.6000728,1816768730,1229,,,,
141,1992,黄南藏族自治州,632300,青海省,630000,2.6986,,,,,,,,,,,,,,379.2244436,760036023.2,781.7764706,,,,
142,1992,海西蒙古族藏族自治州,632800,青海省,630000,11.969,,,,,,,,,,,,,,5013.952282,12336162059,10420.23529,,,,
143,1992,果洛藏族自治州,632600,青海省,630000,2.0158,,,,,,,,,,,,,,18.40553555,2861046673,60,,,,
144,1992,贵阳市,520100,贵州省,520000,62.1719,,,,3913,,,,158.6,106.45,659,,,,12429.56405,2599022537,25029.22353,,,,
145,1992,遵义市,520300,贵州省,520000,73.3218,,,,1173,,,,627.57,68.63,1278,,,,5526.427944,2026506782,12138.97255,,,,
146,1992,铜仁市,520600,贵州省,520000,20.621,,,,622,,,,332.31,26.46,,,,,890.9917961,1038372972,2006.823529,,,,
147,1992,黔西南布依族苗族自治州,522300,贵州省,520000,14.8088,,,,575,,,,259.19,18.74,,,,,2098.922678,1268723130,4266.223529,,,,
148,1992,毕节市,520500,贵州省,520000,35.5405,,,,553,,,,608.31,36.23,,,,,1948.123777,1464535252,4199.921569,,,,
149,1992,安顺市,520400,贵州省,520000,36.3905,,,,1033,,,,354,47.61,400,,,,3028.747654,859101438.7,6450.654902,,,,
150,1992,黔东南苗族侗族自治州,522600,贵州省,520000,26.9352,,,,720,,,,375.72,32.82,,,,,1178.86468,1627318439,2825.478431,,,,
151,1992,黔南布依族苗族自治州,522700,贵州省,520000,35.7613,,,,1074,,,,334.97,37.26,,,,,3198.745469,1537947345,7221.517647,,,,
