county,countyCode,year,total_sol,city,cityCode,province,provinceCode
玉龙纳西族自治县,530721,2013,7.656698533995185,丽江市,530700,云南省,530000
沧源佤族自治县,530927,2013,7.530991142311615,临沧市,530900,云南省,530000
耿马傣族佤族自治县,530926,2013,6.9567002210170195,临沧市,530900,云南省,530000
双江拉祜族佤族布朗族傣族自治县,530925,2013,6.4892692759590815,临沧市,530900,云南省,530000
江城哈尼族彝族自治县,530826,2013,6.169641290651865,普洱市,530800,云南省,530000
景东彝族自治县,530823,2013,6.5501632237003395,普洱市,530800,云南省,530000
景谷傣族彝族自治县,530824,2013,6.604965232184664,普洱市,530800,云南省,530000
澜沧拉祜族自治县,530828,2013,6.654971199102839,普洱市,530800,云南省,530000
孟连傣族拉祜族佤族自治县,530827,2013,7.158753956355156,普洱市,530800,云南省,530000
墨江哈尼族自治县,530822,2013,6.724765102536309,普洱市,530800,云南省,530000
宁洱哈尼族彝族自治县,530821,2013,6.787912051779478,普洱市,530800,云南省,530000
西盟佤族自治县,530829,2013,6.250629554455733,普洱市,530800,云南省,530000
镇沅彝族哈尼族拉祜族自治县,530825,2013,6.923262312259868,普洱市,530800,云南省,530000
峨山彝族自治县,530426,2013,7.786329146952007,玉溪市,530400,云南省,530000
新平彝族傣族自治县,530427,2013,7.490651042892793,玉溪市,530400,云南省,530000
元江哈尼族彝族傣族自治县,530428,2013,8.028980823839223,玉溪市,530400,云南省,530000
通榆县,220822,2013,6.7634584685708905,白城市,220800,吉林省,220000
镇赉县,220821,2013,9.86000489575868,白城市,220800,吉林省,220000
抚松县,220621,2013,7.244437976832123,白山市,220600,吉林省,220000
靖宇县,220622,2013,7.113146132618854,白山市,220600,吉林省,220000
永吉县,220221,2013,7.270239957194601,吉林市,220200,吉林省,220000
东丰县,220421,2013,7.453011059990519,辽源市,220400,吉林省,220000
东辽县,220422,2013,7.125764638288486,辽源市,220400,吉林省,220000
梨树县,220322,2013,7.399301859443303,四平市,220300,吉林省,220000
乾安县,220723,2013,7.311507832806113,松原市,220700,吉林省,220000
长岭县,220722,2013,6.765802506136896,松原市,220700,吉林省,220000
辉南县,220523,2013,7.0882201083858885,通化市,220500,吉林省,220000
柳河县,220524,2013,7.104326357797222,通化市,220500,吉林省,220000
通化县,220521,2013,6.60626915665981,通化市,220500,吉林省,220000
农安县,220122,2013,7.687237324855918,长春市,220100,吉林省,220000
大安市,220882,2013,7.476344240623364,白城市,220800,吉林省,220000
洮南市,220881,2013,10.23331819928055,白城市,220800,吉林省,220000
临江市,220681,2013,6.689706443716584,白山市,220600,吉林省,220000
桦甸市,220282,2013,6.952677228215539,吉林市,220200,吉林省,220000
蛟河市,220281,2013,6.767521279013241,吉林市,220200,吉林省,220000
磐石市,220284,2013,7.768539102064913,吉林市,220200,吉林省,220000
舒兰市,220283,2013,7.605391468089952,吉林市,220200,吉林省,220000
双辽市,220382,2013,7.099105742203542,四平市,220300,吉林省,220000
扶余市,220781,2013,7.285975810432778,松原市,220700,吉林省,220000
集安市,220582,2013,6.516224551515111,通化市,220500,吉林省,220000
梅河口市,220581,2013,8.166545088493065,通化市,220500,吉林省,220000
德惠市,220183,2013,7.824722199821312,长春市,220100,吉林省,220000
公主岭市,220184,2013,8.703161710730429,长春市,220100,吉林省,220000
榆树市,220182,2013,7.396324183776203,长春市,220100,吉林省,220000
洮北区,220802,2013,11.14563310690325,白城市,220800,吉林省,220000
浑江区,220602,2013,10.350386235772659,白山市,220600,吉林省,220000
江源区,220605,2013,7.9630795917005806,白山市,220600,吉林省,220000
昌邑区,220202,2013,13.138532374751826,吉林市,220200,吉林省,220000
船营区,220204,2013,13.32453293040618,吉林市,220200,吉林省,220000
丰满区,220211,2013,13.884062931242187,吉林市,220200,吉林省,220000
龙潭区,220203,2013,14.525526118958986,吉林市,220200,吉林省,220000
龙山区,220402,2013,21.438435552172045,辽源市,220400,吉林省,220000
西安区,220403,2013,33.241330672904915,辽源市,220400,吉林省,220000
铁东区,220303,2013,11.335455768648186,四平市,220300,吉林省,220000
宁江区,220702,2013,16.138359608248834,松原市,220700,吉林省,220000
东昌区,220502,2013,15.269419148592958,通化市,220500,吉林省,220000
二道江区,220503,2013,11.9003445668925,通化市,220500,吉林省,220000
朝阳区,220104,2013,31.803995606206243,长春市,220100,吉林省,220000
二道区,220105,2013,22.52207533650401,长春市,220100,吉林省,220000
九台区,220113,2013,9.97289158357519,长春市,220100,吉林省,220000
宽城区,220103,2013,19.86481630137362,长春市,220100,吉林省,220000
绿园区,220106,2013,44.77781831448378,长春市,220100,吉林省,220000
南关区,220102,2013,32.134667296067306,长春市,220100,吉林省,220000
双阳区,220112,2013,11.036449059529756,长春市,220100,吉林省,220000
铁西区,220302,2013,24.144520839995735,四平市,220300,吉林省,220000
长白朝鲜族自治县,220623,2013,6.337408320687909,白山市,220600,吉林省,220000
伊通满族自治县,220323,2013,8.134447847312302,四平市,220300,吉林省,220000
前郭尔罗斯蒙古族自治县,220721,2013,7.39571284326706,松原市,220700,吉林省,220000
南江县,511922,2013,6.869965126852323,巴中市,511900,四川省,510000
平昌县,511923,2013,6.8530521003597515,巴中市,511900,四川省,510000
通江县,511921,2013,6.697821942574824,巴中市,511900,四川省,510000
大邑县,510129,2013,11.614793674778806,成都市,510100,四川省,510000
金堂县,510121,2013,12.727601585355762,成都市,510100,四川省,510000
蒲江县,510131,2013,9.429051708204065,成都市,510100,四川省,510000
大竹县,511724,2013,7.733816183014411,达州市,511700,四川省,510000
开江县,511723,2013,7.974558865824155,达州市,511700,四川省,510000
渠县,511725,2013,7.502438730655744,达州市,511700,四川省,510000
宣汉县,511722,2013,7.759684596508201,达州市,511700,四川省,510000
中江县,510623,2013,8.185155008505335,德阳市,510600,四川省,510000
邻水县,511623,2013,7.352072913936946,广安市,511600,四川省,510000
武胜县,511622,2013,8.888799267316868,广安市,511600,四川省,510000
岳池县,511621,2013,7.742123195805938,广安市,511600,四川省,510000
苍溪县,510824,2013,8.459518988309009,广元市,510800,四川省,510000
剑阁县,510823,2013,7.057316060784225,广元市,510800,四川省,510000
青川县,510822,2013,6.741539297275721,广元市,510800,四川省,510000
旺苍县,510821,2013,7.2266787613072285,广元市,510800,四川省,510000
夹江县,511126,2013,11.737351498094695,乐山市,511100,四川省,510000
犍为县,511123,2013,7.414812162926865,乐山市,511100,四川省,510000
井研县,511124,2013,6.907187340302975,乐山市,511100,四川省,510000
沐川县,511129,2013,7.248663698326929,乐山市,511100,四川省,510000
古蔺县,510525,2013,7.096569159459161,泸州市,510500,四川省,510000
合江县,510522,2013,7.799799186763987,泸州市,510500,四川省,510000
泸县,510521,2013,7.280801049057386,泸州市,510500,四川省,510000
叙永县,510524,2013,6.914073068584036,泸州市,510500,四川省,510000
丹棱县,511424,2013,7.1968728881243464,眉山市,511400,四川省,510000
洪雅县,511423,2013,7.406976744186044,眉山市,511400,四川省,510000
青神县,511425,2013,9.075384550903225,眉山市,511400,四川省,510000
仁寿县,511421,2013,7.815654510605511,眉山市,511400,四川省,510000
平武县,510727,2013,6.387905103343598,绵阳市,510700,四川省,510000
三台县,510722,2013,7.466805067043832,绵阳市,510700,四川省,510000
盐亭县,510723,2013,7.82363518587706,绵阳市,510700,四川省,510000
梓潼县,510725,2013,7.576695870762631,绵阳市,510700,四川省,510000
南部县,511321,2013,7.655816297934693,南充市,511300,四川省,510000
蓬安县,511323,2013,7.973660357647639,南充市,511300,四川省,510000
西充县,511325,2013,7.770598798729351,南充市,511300,四川省,510000
仪陇县,511324,2013,8.083095760976324,南充市,511300,四川省,510000
营山县,511322,2013,8.108792483544939,南充市,511300,四川省,510000
威远县,511024,2013,10.687598082827332,内江市,511000,四川省,510000
资中县,511025,2013,7.87120472024135,内江市,511000,四川省,510000
米易县,510421,2013,7.691573830261299,攀枝花市,510400,四川省,510000
盐边县,510422,2013,7.4832502233880005,攀枝花市,510400,四川省,510000
大英县,510923,2013,10.429210720210465,遂宁市,510900,四川省,510000
蓬溪县,510921,2013,8.456729636912366,遂宁市,510900,四川省,510000
宝兴县,511827,2013,6.368449841374029,雅安市,511800,四川省,510000
汉源县,511823,2013,7.814806984821963,雅安市,511800,四川省,510000
芦山县,511826,2013,7.748390020645785,雅安市,511800,四川省,510000
石棉县,511824,2013,7.692764987695308,雅安市,511800,四川省,510000
天全县,511825,2013,6.882086618082166,雅安市,511800,四川省,510000
荥经县,511822,2013,8.034375771108659,雅安市,511800,四川省,510000
高县,511525,2013,6.804473088534842,宜宾市,511500,四川省,510000
珙县,511526,2013,7.3196589513979955,宜宾市,511500,四川省,510000
江安县,511523,2013,7.80999168355685,宜宾市,511500,四川省,510000
屏山县,511529,2013,7.3858488802232865,宜宾市,511500,四川省,510000
兴文县,511528,2013,6.855097934858258,宜宾市,511500,四川省,510000
筠连县,511527,2013,7.15613016598012,宜宾市,511500,四川省,510000
长宁县,511524,2013,7.027818442292487,宜宾市,511500,四川省,510000
安岳县,512021,2013,9.875355488746244,资阳市,512000,四川省,510000
乐至县,512022,2013,8.767097453401565,资阳市,512000,四川省,510000
富顺县,510322,2013,8.128592686022238,自贡市,510300,四川省,510000
荣县,510321,2013,7.836570162916755,自贡市,510300,四川省,510000
崇州市,510184,2013,16.545563150095106,成都市,510100,四川省,510000
都江堰市,510181,2013,16.115290190454125,成都市,510100,四川省,510000
简阳市,510185,2013,8.385727866921126,成都市,510100,四川省,510000
彭州市,510182,2013,16.1483329280521,成都市,510100,四川省,510000
邛崃市,510183,2013,10.604936861167491,成都市,510100,四川省,510000
万源市,511781,2013,6.81169479927506,达州市,511700,四川省,510000
广汉市,510681,2013,23.35442717935211,德阳市,510600,四川省,510000
绵竹市,510683,2013,12.824412786415774,德阳市,510600,四川省,510000
什邡市,510682,2013,14.948359322496119,德阳市,510600,四川省,510000
华蓥市,511681,2013,9.581691575012808,广安市,511600,四川省,510000
峨眉山市,511181,2013,13.025108410187514,乐山市,511100,四川省,510000
江油市,510781,2013,9.629151467325757,绵阳市,510700,四川省,510000
阆中市,511381,2013,9.876640126326567,南充市,511300,四川省,510000
隆昌市,511083,2013,10.001774877116736,内江市,511000,四川省,510000
射洪市,510981,2013,9.335182870752469,遂宁市,510900,四川省,510000
巴州区,511902,2013,10.135925949111352,巴中市,511900,四川省,510000
恩阳区,511903,2013,6.369190230428152,巴中市,511900,四川省,510000
成华区,510108,2013,60.568461291702285,成都市,510100,四川省,510000
金牛区,510106,2013,61.44571473834293,成都市,510100,四川省,510000
锦江区,510104,2013,62.183096584160765,成都市,510100,四川省,510000
龙泉驿区,510112,2013,35.04096510303408,成都市,510100,四川省,510000
郫都区,510117,2013,39.69477611940299,成都市,510100,四川省,510000
青白江区,510113,2013,29.187280749621902,成都市,510100,四川省,510000
青羊区,510105,2013,61.172730453034845,成都市,510100,四川省,510000
双流区,510116,2013,34.67884391991754,成都市,510100,四川省,510000
温江区,510115,2013,38.48749764993419,成都市,510100,四川省,510000
武侯区,510107,2013,62.81432765173062,成都市,510100,四川省,510000
新都区,510114,2013,41.55250620835769,成都市,510100,四川省,510000
新津区,510118,2013,30.19104896331039,成都市,510100,四川省,510000
达川区,511703,2013,9.005294240280021,达州市,511700,四川省,510000
通川区,511702,2013,10.480229033344559,达州市,511700,四川省,510000
旌阳区,510603,2013,21.896118979542067,德阳市,510600,四川省,510000
罗江区,510604,2013,10.57848490513734,德阳市,510600,四川省,510000
广安区,511602,2013,10.055476965966491,广安市,511600,四川省,510000
前锋区,511603,2013,11.9870001152472,广安市,511600,四川省,510000
朝天区,510812,2013,6.826059295075709,广元市,510800,四川省,510000
利州区,510802,2013,12.674154539964542,广元市,510800,四川省,510000
昭化区,510811,2013,7.297243068126562,广元市,510800,四川省,510000
金口河区,511113,2013,7.376422727409956,乐山市,511100,四川省,510000
沙湾区,511111,2013,9.601278201113617,乐山市,511100,四川省,510000
市中区,511102,2013,15.427916668228166,乐山市,511100,四川省,510000
五通桥区,511112,2013,12.61219767331284,乐山市,511100,四川省,510000
江阳区,510502,2013,14.121197445012008,泸州市,510500,四川省,510000
龙马潭区,510504,2013,15.327879291741107,泸州市,510500,四川省,510000
纳溪区,510503,2013,7.93196365073094,泸州市,510500,四川省,510000
东坡区,511402,2013,11.497741891652261,眉山市,511400,四川省,510000
彭山区,511403,2013,14.485970325588992,眉山市,511400,四川省,510000
安州区,510705,2013,9.417621740281456,绵阳市,510700,四川省,510000
涪城区,510703,2013,26.723919888504618,绵阳市,510700,四川省,510000
游仙区,510704,2013,11.04372820572891,绵阳市,510700,四川省,510000
高坪区,511303,2013,13.180675993801769,南充市,511300,四川省,510000
嘉陵区,511304,2013,9.70771776042725,南充市,511300,四川省,510000
顺庆区,511302,2013,15.786002772122266,南充市,511300,四川省,510000
东兴区,511011,2013,9.153636258787195,内江市,511000,四川省,510000
市中区,511002,2013,14.240789664019735,内江市,511000,四川省,510000
东区,510402,2013,38.298604803255444,攀枝花市,510400,四川省,510000
仁和区,510411,2013,12.29262010617742,攀枝花市,510400,四川省,510000
西区,510403,2013,30.3332880404013,攀枝花市,510400,四川省,510000
安居区,510904,2013,7.547119483557733,遂宁市,510900,四川省,510000
船山区,510903,2013,18.09980348524695,遂宁市,510900,四川省,510000
名山区,511803,2013,7.998086484538163,雅安市,511800,四川省,510000
雨城区,511802,2013,8.872322368785682,雅安市,511800,四川省,510000
翠屏区,511502,2013,11.248947880394887,宜宾市,511500,四川省,510000
南溪区,511503,2013,10.129437807250884,宜宾市,511500,四川省,510000
叙州区,511504,2013,10.017973916200592,宜宾市,511500,四川省,510000
雁江区,512002,2013,9.67063255818181,资阳市,512000,四川省,510000
大安区,510304,2013,11.287093626418772,自贡市,510300,四川省,510000
贡井区,510303,2013,10.103274849310864,自贡市,510300,四川省,510000
沿滩区,510311,2013,12.984144327277352,自贡市,510300,四川省,510000
自流井区,510302,2013,21.23411393679125,自贡市,510300,四川省,510000
峨边彝族自治县,511132,2013,7.281619666498463,乐山市,511100,四川省,510000
马边彝族自治县,511133,2013,7.086249772548067,乐山市,511100,四川省,510000
北川羌族自治县,510726,2013,7.972224651988105,绵阳市,510700,四川省,510000
怀宁县,340822,2013,8.49687829810149,安庆市,340800,安徽省,340000
宿松县,340826,2013,7.035435095071719,安庆市,340800,安徽省,340000
太湖县,340825,2013,7.216996026348777,安庆市,340800,安徽省,340000
望江县,340827,2013,7.681010119699541,安庆市,340800,安徽省,340000
