Sgnyea,Prvcnm_id,Prvcnm,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116
1995,540000,西藏自治区,55.98,23.48,13.24,19.39,41.8464,23.5965,34.5571,2358
1995,420000,湖北省,2391.42,619.77,780.18,709.43,29.3816,36.9862,33.6322,3671
1995,620000,甘肃省,553.35,110.65,256.83,190.28,19.8383,46.0467,34.115,2316
1995,530000,云南省,1206.68,302.69,534.78,384.68,24.767,43.7573,31.4757,3083
1995,520000,贵州省,630.07,227.13,232.52,176.56,35.7005,36.5477,27.7518,1826
1995,430000,湖南省,2195.7,685.3,770.67,676.16,32.1416,36.1455,31.7129,3359
1995,360000,江西省,1205.11,374.64,403.74,391.35,32.0279,34.5157,33.4564,2896
1995,640000,宁夏回族自治区,169.75,35.41,74.67,65.1,20.2123,42.6223,37.1597,3448
1995,450000,广西壮族自治区,1497.56,449.64,535.86,512.06,30.0248,35.7822,34.193,3304
1995,350000,福建省,2160.52,464.82,882.34,747.74,22.1882,42.1185,35.6934,6526
1995,220000,吉林省,1129.2,303.99,475.22,358.02,26.7307,41.7875,31.4818,4402
1995,150000,内蒙古自治区,832.88,260.18,308.78,288.1,30.3573,36.0278,33.6149,3772
1995,130000,河北省,2849.52,631.34,1322.77,895.41,22.156,46.4208,31.4232,4444
1995,410000,河南省,3002.74,762.99,1394.98,830.4,25.532,46.6803,27.7877,3297
1995,610000,陕西省,1000.03,217.27,441.67,377.91,20.9548,42.5973,36.4479,2965
1995,630000,青海省,165.31,39.62,64.58,63.6,23.6114,38.4863,37.9023,3513
1996,310000,上海市,2902.2,71.58,1582.5,1248.12,2.3235,53.9879,43.6885,19779
1996,110000,北京市,1615.73,83.46,683.14,849.13,4.1002,39.9424,55.9574,14254
1996,500000,重庆市,1179.09,287.56,474.31,425.6,24.2162,39.9429,35.8409,4130
1996,142,中国,71813.6296,13878.3326,33827.2667,24108.0303,19.3255,47.1042,33.5703,5898.2078
1996,360000,江西省,1517.26,440,588.82,488.44,31.2114,34.141,34.6475,3452
1996,220000,吉林省,1337.16,376.01,543.17,417.98,27.919,39.8763,32.2047,5178
1996,150000,内蒙古自治区,984.78,312.82,387.29,284.67,30.576,35.6538,33.7702,4457
1996,510000,四川省,2985.15,1175,1773.41,1266.59,26.8145,40.256,32.9295,3550
1996,120000,天津市,1102.4,70.53,584.43,447.44,6.0316,54.2904,39.6781,11734
1996,330000,浙江省,4146.06,609.18,2200.19,1336.69,14.204,53.2924,32.5038,9552
1996,370000,山东省,5960.42,1200.17,2810.72,1949.53,20.3979,47.3179,32.2842,6746
1996,130000,河北省,3452.97,700.94,1664.61,1087.42,20.2996,48.2081,31.4923,5345
1996,230000,黑龙江省,2402.58,465.82,1280.95,655.81,18.7387,53.5963,27.665,6382
1996,340000,安徽省,2339.25,665.44,1097.37,576.44,31.9324,35.4498,32.6179,3524
1996,540000,西藏自治区,64.76,27.15,11.39,26.22,41.859,17.4207,40.7202,2688
1996,440000,广东省,6519.14,941.73,3269.35,2308.06,13.6832,48.391,37.9258,9139
1996,410000,河南省,3661.18,959.87,1718.98,1004.56,25.797,46.1558,28.0472,3978
1996,630000,青海省,183.57,39.46,71.52,72.59,21.9417,38.0084,40.0445,3799
1996,460000,海南省,389.53,143.54,81.32,164.67,36.222,20.9197,42.8582,5346
1996,320000,江苏省,6004.21,965.29,3074.12,1964.8,16.4748,51.1994,32.3258,8471
1996,210000,辽宁省,3157.69,474.09,1537.68,1145.92,15.0141,48.6968,36.2891,7730
1996,620000,甘肃省,714.18,187.81,314.96,211.41,26.0366,43.1794,30.7839,2946
1996,520000,贵州省,713.7,260.56,257.82,201.45,35.1959,35.2734,29.5307,2048
1996,450000,广西壮族自治区,1697.9,580.47,710.13,579.02,31.3046,34.5939,34.1021,3706
1996,430000,湖南省,2647.16,793.98,1008.43,844.75,31.2575,36.221,32.5216,3963
1996,610000,陕西省,1175.38,262.74,475.01,437.63,20.6096,42.2975,37.0929,3446
1996,650000,新疆维吾尔自治区,912.15,249.31,336.89,325.95,27.6725,34.8196,37.5079,5102
1996,140000,山西省,1308.01,198.29,670.41,436.8,15.3454,46.4519,38.2026,4177
1996,420000,湖北省,2970.2,716.34,1344.36,909.5,28.6562,36.9506,34.3932,4311
1996,640000,宁夏回族自治区,193.62,43.24,79.74,70.64,21.3307,39.6944,38.9798,3926
1996,530000,云南省,1491.62,364.27,672.82,454.53,23.7519,44.0841,32.164,3779
1996,350000,福建省,2583.83,560.47,1089.57,956.88,21.6315,41.326,37.0426,7646
1997,120000,天津市,1235.28,74.55,643.88,521.97,6,51.9,42.1,13796
1997,500000,重庆市,1350.1,304.51,563.4,482.19,22.6,41.7,35.7,4452
1997,142,中国,79715.0445,14265.2278,37545.0255,27904.7912,17.8953,47.099,35.0057,6480.5028
1997,350000,福建省,3000.36,576.63,1293.5,1130.23,19.2,43.1,37.7,9258
1997,340000,安徽省,2669.95,732.37,1260.9,676.68,27.4,47.2,25.4,4390
1997,110000,北京市,1810.09,84.85,738.56,986.68,4.7,40.8,54.5,16735
1997,440000,广东省,7315.51,986.82,3647.82,2680.87,13.5,49.9,36.6,10428
1997,410000,河南省,4079.26,1008.55,1920.05,1150.66,24.7,47.1,28.2,4430
1997,370000,山东省,6650.02,1195,3185.05,2269.97,18,47.9,34.1,7590
1997,610000,陕西省,1300.03,271.52,555.86,498.66,20.5,41.9,37.6,3707
1997,640000,宁夏回族自治区,210.92,44.82,87.65,78.45,21.2,41.6,37.2,4025
1997,210000,辽宁省,3582.46,485.38,1743.87,1260.81,13.9,50,36.1,8525
1997,520000,贵州省,792.98,271.83,293.47,227.68,34.3,37,28.7,2215
1997,460000,海南省,409.86,151.28,82.68,175.9,36.9,20.2,42.9,5698
1997,360000,江西省,1715.18,475.18,658.25,581.75,27.7,38.4,33.9,4155
1997,540000,西藏自治区,76.98,29.18,16.95,30.85,37.9,22,40.1,3194
1997,530000,云南省,1644.23,391.48,750.01,502.74,23.8,45.6,30.6,4042
1997,450000,广西壮族自治区,1817.25,631.62,759.54,624.04,31.3,37.7,31,4356
1997,630000,青海省,202.05,40.65,78.8,82.6,20.1,39,40.9,4066
1997,620000,甘肃省,781.34,189.79,343.4,248.15,24.3,43.9,31.8,3137
1997,230000,黑龙江省,2708.46,484.81,1449.25,774.4,17.9,53.5,28.6,7243
1997,140000,山西省,1480.13,191.84,789.45,498.84,13,53.3,33.7,4736
1997,420000,湖北省,3450.24,767.92,1606.98,1075.34,22.2,46.6,31.2,5899
1997,130000,河北省,3953.78,761.76,1934.38,1257.64,19.3,48.9,31.8,6079
1997,430000,湖南省,2993,855.75,1166.97,970.28,28.6,39,32.4,4643
1997,650000,新疆维吾尔自治区,1050.14,279.73,413.29,357.12,26.6,39.4,34,5904
1997,510000,四川省,3320.11,919.28,1385.38,1015.45,27.7,41.7,30.6,4029
1997,150000,内蒙古自治区,1099.77,322.52,445.5,326.5,29.5,40.7,29.8,4691
1997,330000,浙江省,4638.24,637.48,2509.56,1491.2,13.7,54.1,32.2,10515
1997,310000,上海市,3360.21,75.8,1754.39,1530.02,2.3,52.2,45.5,25750
1997,220000,吉林省,1446.91,368.16,575.43,503.32,25.4,39.8,34.8,5504
1997,320000,江苏省,6680.34,1008.41,3411.86,2260.07,15.1,51.1,33.8,9344
1998,310000,上海市,3688.2,78.5,1847.2,1762.5,2.1,50.1,47.8,24513
1998,110000,北京市,2011.31,86.56,786.85,1137.9,4.3,39.1,56.6,19118
1998,120000,天津市,1336.38,74.03,660,602.35,5.5,49.4,45.1,14243
1998,142,中国,85195.5071,14618.7267,39017.5284,31559.252,17.159,45.7976,37.0433,6859.9006
1998,530000,云南省,1793.9,408.43,828.37,557.1,22.8,46.2,31.1,4446
1998,320000,江苏省,7199.95,1016.27,3640.1,2543.58,14.1,50.6,35.3,10049
1998,650000,新疆维吾尔自治区,1116.67,291.05,430.73,394.89,26.1,38.6,35.4,6174
1998,640000,宁夏回族自治区,227.46,48.69,94.01,84.76,21.4,41.3,37.3,4607
1998,430000,湖南省,3118.09,828.31,1294.17,1088.92,25.8,40.3,33.9,4667
1998,360000,江西省,1851.98,450.44,740.33,661.21,24.3,40,35.7,4124
1998,460000,海南省,438.92,164,90.63,184.29,37.4,20.6,42,5912
1998,450000,广西壮族自治区,1903.04,574.25,678.19,650.6,30.2,35.6,34.2,4346
1998,350000,福建省,3286.56,610.04,1444.73,1275.41,18.3,43.4,38.3,9603
1998,620000,甘肃省,869.75,202.21,382,285.54,23.2,43.9,32.8,3541
1998,140000,山西省,1486.08,207.26,856.13,537.72,12.9,53.5,33.6,5104
1998,440000,广东省,7919.12,1004.92,3991.97,2922.23,12.7,50.4,36.9,10819
1998,420000,湖北省,3704.21,748.22,1752.91,1203.08,20.2,47.3,32.5,5287
1998,630000,青海省,220.16,41.63,88.42,90.11,18.9,40.2,40.9,4426
1998,340000,安徽省,2805.45,739.7,1253.53,812.22,26.4,44.7,29,4235
1998,500000,重庆市,1429.26,298.67,585.38,545.21,20.9,41,38.1,5016
1998,210000,辽宁省,3881.73,531.46,1855.22,1495.05,13.7,47.8,38.5,9415
1998,540000,西藏自治区,91.18,31.31,20.24,39.63,34.3,22.2,43.5,3666
1998,370000,山东省,7162.2,1215.81,3457.03,2489.36,17,48.3,34.8,7968
1998,510000,四川省,3580.26,941.24,1527.07,1111.95,26.3,42.7,31.1,4294
1998,520000,贵州省,841.88,264.89,326.03,250.96,31.5,38.7,29.8,2364
1998,410000,河南省,4356.6,1071.39,2012.74,1272.47,24.6,46.2,29.2,4643
1998,330000,浙江省,4987.5,631.31,2709.08,1647.11,12.7,54.3,33,11394
1998,150000,内蒙古自治区,1192.29,341.62,479.53,371.14,28.7,40.2,31.1,5406
1998,230000,黑龙江省,2798.89,463.05,1506.76,863.03,16.3,53.2,30.5,7375
1998,130000,河北省,4256.01,790.6,2084.33,1381.08,18.6,49,32.5,6501
1998,610000,陕西省,1381.53,283.49,567.66,530.38,20.5,41.1,38.4,4070
1998,220000,吉林省,1557.78,429.5,597.29,530.99,27.6,38.3,34.1,5983
1999,500000,重庆市,1479.71,284.28,604.39,591.04,19.2119,40.8452,39.943,4826.1747
1999,110000,北京市,2174.46,87.48,840.23,1246.75,4.0231,38.7,57.3361,19846.3013
1999,310000,上海市,4034.96,80,1953.98,2000.98,1.9827,48.4263,49.5911,30804.7486
1999,120000,天津市,1450.06,71.01,711.93,667.12,4.897,49.0966,46.0064,15976.334
1999,142,中国,90564.3758,14548.9754,41079.8772,34935.5232,16.0648,45.3599,38.5753,7229.3323
1999,440000,广东省,8464.31,1021.3,4264.32,3178.69,12.066,50.38,37.554,11728.2943
1999,150000,内蒙古自治区,1268.2,342.91,515.46,409.83,27.0391,40.645,32.3159,5350.1519
1999,370000,山东省,7662.1,1221,3705.44,2735.66,15.9356,48.3606,35.7038,8673.47
1999,420000,湖北省,3857.99,653.99,1887.93,1316.07,16.9516,48.9356,34.1128,6513.9701
1999,460000,海南省,471.23,176.42,94.95,199.86,37.4382,20.1494,42.4124,6382.9816
1999,410000,河南省,4576.1,1123.14,2070.88,1382.08,24.5436,45.2543,30.2021,4893.7012
1999,360000,江西省,1853.65,464.4,758.15,740.431,23.6579,38.6224,37.7197,4661.3451
1999,220000,吉林省,1660.91,423.48,671.74,574.34,25.3648,40.2346,34.4007,6340.8317
1999,140000,山西省,1506.78,159.96,760.72,586.1,10.616,50.4865,38.8975,4726.5302
