UpdateTimes,Sgnyea,Prvcnm_id,Prvcnm,Tpt0101,Tpt0103,Tpt0104
1,2000,340000,安徽省,1842.9,44493,42579
1,2000,370000,山东省,2401.6,70686,70579
1,2000,410000,河南省,2353.1,64453,62192
1,2000,520000,贵州省,1641.7,34643,17034
1,2000,110000,北京市,1140.9,13597,13143
1,2000,330000,浙江省,793.7,41605,37707
1,2000,620000,甘肃省,2318,39344,29393
1,2000,142,中国,68700,1679848,1216013
1,2000,210000,辽宁省,3556.4,45547,44969
1,2000,220000,吉林省,3474.4,35216,33698
1,2000,350000,福建省,873.9,51073,42512
1,2000,430000,湖南省,2312.7,60848,33380
1,2000,230000,黑龙江省,5013.2,50284,49622
1,2000,310000,上海市,256.5,4325,4325
1,2000,450000,广西壮族自治区,2012.3,52910,45430
1,2000,360000,江西省,2152.6,37138,26448
1,2000,500000,重庆市,598,29252,21743
1,2000,440000,广东省,693.8,102604,93693
1,2000,510000,四川省,2333.3,90875,69723
1,2000,530000,云南省,1872.5,109560,102550
1,2000,540000,西藏自治区,,22503,10647
1,2000,120000,天津市,531.2,8946,8869
1,2000,460000,海南省,219,17401,13405
1,2000,640000,宁夏回族自治区,716.1,10171,9649
1,2000,140000,山西省,2510.8,55408,52767
1,2000,420000,湖北省,2030.8,57850,48062
1,2000,610000,陕西省,2204.6,44006,37459
1,2000,650000,新疆维吾尔自治区,2309.9,34585,32295
1,2001,210000,辽宁省,3782.8,46603,46309
1,2001,430000,湖南省,2757.9,66593,36800
1,2001,460000,海南省,219,20667,11483
1,2001,610000,陕西省,2873.8,45273,39300
1,2001,310000,上海市,256.5,6078,5585
1,2001,320000,江苏省,897.7,58866,48587
1,2001,650000,新疆维吾尔自治区,2774.4,80947,61506
1,2001,500000,重庆市,632.6,30654,21405
1,2001,520000,贵州省,1643.7,34617,24625
1,2001,330000,浙江省,1220.8,44005,41072
1,2001,510000,四川省,2505.2,108724,72063
1,2001,530000,云南省,1946.3,163953,106396
1,2001,120000,天津市,697.2,9647,9067
1,2001,220000,吉林省,3561.6,39747,36964
1,2001,350000,福建省,1284.8,53547,40666
1,2001,640000,宁夏回族自治区,786.6,10899,10723
1,2001,130000,河北省,4570.9,62615,53257
1,2001,140000,山西省,3050.2,56993,54529
1,2001,230000,黑龙江省,5503.2,62979,57762
1,2001,340000,安徽省,2220.4,65807,59797
1,2001,360000,江西省,2415.3,60314,35093
1,2001,410000,河南省,3593.9,69041,63437
1,2001,110000,北京市,1160.6,13891,13445
1,2001,150000,内蒙古自治区,6038.2,70408,60234
1,2001,540000,西藏自治区,,35537,7196
1,2001,620000,甘肃省,2664.8,39844,30283
1,2001,630000,青海省,1297,23328,17424
1,2001,370000,山东省,2855.4,71128,70963
1,2001,440000,广东省,1923.2,104798,93833
1,2001,142,中国,70058,1698000,1336044
1,2001,420000,湖北省,2212.5,85757,66048
1,2001,450000,广西壮族自治区,2710.7,54752,40192
1,2002,130000,河北省,4585.7,63079,53995
1,2002,142,中国,71898,1765200,1382926
1,2002,310000,上海市,256.5,6286,6024
1,2002,500000,重庆市,718.2,31060,21936
1,2002,520000,贵州省,1892.8,44220,30504
1,2002,320000,江苏省,1340.4,60141,49959
1,2002,510000,四川省,2944,111898,73943
1,2002,360000,江西省,2368.6,60696,36070
1,2002,430000,湖南省,2758,84808,38433
1,2002,440000,广东省,2108.2,108538,97711
1,2002,620000,甘肃省,2317.4,40223,30806
1,2002,220000,吉林省,3561.8,41095,38408
1,2002,610000,陕西省,2885.1,46564,40800
1,2002,340000,安徽省,2219.7,67547,61406
1,2002,370000,山东省,2855.4,74029,73884
1,2002,420000,湖北省,2388.9,86098,67290
1,2002,450000,广西壮族自治区,2745.2,56297,42155
1,2002,650000,新疆维吾尔自治区,2774.5,82929,62820
1,2002,330000,浙江省,1300.1,45646,42759
1,2002,210000,辽宁省,3799.8,48051,47769
1,2002,230000,黑龙江省,5502.8,63046,57882
1,2002,460000,海南省,213.9,20876,11775
1,2002,640000,宁夏回族自治区,786.6,11245,11081
1,2002,120000,天津市,681.6,9696,9126
1,2002,140000,山西省,3050.5,59611,57250
1,2002,410000,河南省,3593.9,71741,66524
1,2002,630000,青海省,1091.9,24003,18484
1,2002,110000,北京市,1138.1,14359,13940
1,2002,150000,内蒙古自治区,6192.6,72673,63000
1,2002,350000,福建省,1453.9,54155,41220
1,2002,530000,云南省,2371.4,164852,107615
1,2002,540000,西藏自治区,,39760,8357
1,2003,640000,宁夏回族自治区,791.4,11916,11770
1,2003,330000,浙江省,1249.9,46193,43436
1,2003,450000,广西壮族自治区,2738,58451,45284
1,2003,230000,黑龙江省,5483.7,65123,59599
1,2003,540000,西藏自治区,,41302,9107
1,2003,610000,陕西省,2892.3,50019,44422
1,2003,320000,江苏省,1393.6,65565,56300
1,2003,360000,江西省,2298.2,61233,37791
1,2003,130000,河北省,4744,65391,55682
1,2003,140000,山西省,3137.5,63122,60838
1,2003,142,中国,73000,1809800,1438738
1,2003,420000,湖北省,2388.5,87813,69914
1,2003,530000,云南省,2340.3,166133,109300
1,2003,150000,内蒙古自治区,6202.6,74135,65157
1,2003,310000,上海市,256.5,6484,6322
1,2003,500000,重庆市,718.2,31407,22562
1,2003,620000,甘肃省,2312.5,40293,30947
1,2003,110000,北京市,1136.1,14453,14139
