region,regionCode,year,hdmsp
天津市,120000,2002,321346.3333
重庆市,500000,2002,193224.8667
广西壮族自治区,450000,2002,371165.1608
内蒙古自治区,150000,2002,490366.5725
宁夏回族自治区,640000,2002,132214.2431
西藏自治区,540000,2002,24417.21176
新疆维吾尔自治区,650000,2002,632999.2118
澳门特别行政区,820000,2002,3729.619608
香港特别行政区,810000,2002,76845.0549
安徽省,340000,2003,599460.3569
福建省,350000,2003,626645.7804
甘肃省,620000,2003,289103.702
广东省,440000,2003,1822382.788
贵州省,520000,2003,234050.6588
海南省,460000,2003,182848.498
河北省,130000,2003,1507991.294
河南省,410000,2003,1287973.749
黑龙江省,230000,2003,1061874.322
湖北省,420000,2003,510967.8941
湖南省,430000,2003,416661.8941
吉林省,220000,2003,563150.3647
江苏省,320000,2003,1575551.824
江西省,360000,2003,359947.7647
辽宁省,210000,2003,961989.4627
青海省,630000,2003,83169.06275
山东省,370000,2003,2136323.047
山西省,140000,2003,951214.5176
陕西省,610000,2003,559261.7412
四川省,510000,2003,587079.2392
台湾省,710000,2003,871842.8314
云南省,530000,2003,528139.8078
浙江省,330000,2003,1122399.914
北京市,110000,2003,418760.9843
上海市,310000,2003,341884.502
天津市,120000,2003,338623.9647
重庆市,500000,2003,205742.9255
广西壮族自治区,450000,2003,472337.2667
内蒙古自治区,150000,2003,573571.549
宁夏回族自治区,640000,2003,140831.549
西藏自治区,540000,2003,28625.56863
新疆维吾尔自治区,650000,2003,677769.4745
澳门特别行政区,820000,2003,3806.988235
香港特别行政区,810000,2003,77664.38824
安徽省,340000,2004,733801.2431
福建省,350000,2004,668189.3529
甘肃省,620000,2004,384378.2549
广东省,440000,2004,2008956.894
贵州省,520000,2004,287045.3373
海南省,460000,2004,210258.2824
河北省,130000,2004,1861734.165
河南省,410000,2004,1463696.478
黑龙江省,230000,2004,1579467.804
湖北省,420000,2004,626207.3608
湖南省,430000,2004,530770.1804
吉林省,220000,2004,758263.4627
江苏省,320000,2004,1780354.914
江西省,360000,2004,429077.4431
辽宁省,210000,2004,1177467.275
青海省,630000,2004,102709.1412
山东省,370000,2004,2511151.686
山西省,140000,2004,1282365.714
陕西省,610000,2004,738218.2667
四川省,510000,2004,716034.7216
台湾省,710000,2004,868373.4
云南省,530000,2004,593685.5804
浙江省,330000,2004,1232367.71
北京市,110000,2004,450466.7843
上海市,310000,2004,357634.6353
天津市,120000,2004,378698.6627
重庆市,500000,2004,241715.149
广西壮族自治区,450000,2004,541900.1686
内蒙古自治区,150000,2004,835106.5686
宁夏回族自治区,640000,2004,183295.7686
西藏自治区,540000,2004,39129.98039
新疆维吾尔自治区,650000,2004,777714.8157
澳门特别行政区,820000,2004,3798.145098
香港特别行政区,810000,2004,76712.38039
安徽省,340000,2005,748869.6549
福建省,350000,2005,576548.4706
甘肃省,620000,2005,391200.8471
广东省,440000,2005,1804609.373
贵州省,520000,2005,279738.8667
海南省,460000,2005,185839.0549
河北省,130000,2005,1851685.031
河南省,410000,2005,1489842.035
黑龙江省,230000,2005,1443234.094
湖北省,420000,2005,609236.5765
湖南省,430000,2005,532077.4039
吉林省,220000,2005,779333.7255
江苏省,320000,2005,1782100.004
江西省,360000,2005,397737.2863
辽宁省,210000,2005,1187978.031
青海省,630000,2005,103666.7059
山东省,370000,2005,2356936.89
山西省,140000,2005,1213647.18
陕西省,610000,2005,769246.949
四川省,510000,2005,690282.2549
台湾省,710000,2005,852067.6588
云南省,530000,2005,603600.4549
浙江省,330000,2005,1225686.8
北京市,110000,2005,453636.4157
上海市,310000,2005,370506.8471
天津市,120000,2005,387787.9216
重庆市,500000,2005,261998.3451
广西壮族自治区,450000,2005,471106.8667
内蒙古自治区,150000,2005,836545.1804
宁夏回族自治区,640000,2005,182195.0706
西藏自治区,540000,2005,40396.72941
新疆维吾尔自治区,650000,2005,819387.5765
澳门特别行政区,820000,2005,3614.996078
香港特别行政区,810000,2005,72821.58824
安徽省,340000,2006,685423.6275
福建省,350000,2006,627906.4941
甘肃省,620000,2006,372228.2235
广东省,440000,2006,1862457.239
贵州省,520000,2006,277281.9098
海南省,460000,2006,185750.5255
河北省,130000,2006,1748320.894
河南省,410000,2006,1645824.957
黑龙江省,230000,2006,1180195.89
湖北省,420000,2006,647155.5412
湖南省,430000,2006,493874.9373
吉林省,220000,2006,598479.5882
江苏省,320000,2006,1919932.49
江西省,360000,2006,358204.5294
辽宁省,210000,2006,1051830.494
青海省,630000,2006,102147.7137
山东省,370000,2006,2545432.039
山西省,140000,2006,1200599.016
陕西省,610000,2006,824877.8667
四川省,510000,2006,688931.5569
台湾省,710000,2006,877630.1765
云南省,530000,2006,595892.5137
浙江省,330000,2006,1292432.973
北京市,110000,2006,456535.2118
上海市,310000,2006,392514.949
天津市,120000,2006,389915.4549
重庆市,500000,2006,253973.2627
广西壮族自治区,450000,2006,482506.1255
内蒙古自治区,150000,2006,806522.8157
宁夏回族自治区,640000,2006,188442.4275
西藏自治区,540000,2006,37077.4902
新疆维吾尔自治区,650000,2006,778288.1686
澳门特别行政区,820000,2006,3720.854902
香港特别行政区,810000,2006,73038.60392
安徽省,340000,2007,918501.1529
福建省,350000,2007,744800.3882
甘肃省,620000,2007,402266.9216
广东省,440000,2007,2038834.529
贵州省,520000,2007,311851.8824
海南省,460000,2007,187154.7176
河北省,130000,2007,1959822.22
河南省,410000,2007,1696524.224
黑龙江省,230000,2007,1340925.078
湖北省,420000,2007,745189.9255
湖南省,430000,2007,612634.5255
吉林省,220000,2007,742864.2235
江苏省,320000,2007,2116019.549
江西省,360000,2007,472868.9765
辽宁省,210000,2007,1340477.361
青海省,630000,2007,122609.4118
山东省,370000,2007,2572364.09
山西省,140000,2007,1129445.443
陕西省,610000,2007,844870.5216
四川省,510000,2007,791819.6275
台湾省,710000,2007,885207.6549
云南省,530000,2007,732211.1098
浙江省,330000,2007,1402779.118
北京市,110000,2007,457363.3608
上海市,310000,2007,401059.4157
天津市,120000,2007,415600.3412
重庆市,500000,2007,287269.5686
广西壮族自治区,450000,2007,625785.7216
内蒙古自治区,150000,2007,946980.2118
宁夏回族自治区,640000,2007,201267.3098
西藏自治区,540000,2007,44407.37647
新疆维吾尔自治区,650000,2007,900395.9255
澳门特别行政区,820000,2007,3651.109804
香港特别行政区,810000,2007,73349.20392
安徽省,340000,2008,907883.6941
福建省,350000,2008,770592.9059
甘肃省,620000,2008,410115.7176
广东省,440000,2008,2041321.208
贵州省,520000,2008,282358.9804
海南省,460000,2008,215713.5137
河北省,130000,2008,1906120.541
河南省,410000,2008,1661483.847
黑龙江省,230000,2008,1588873.737
湖北省,420000,2008,727372.4118
湖南省,430000,2008,567358.3294
吉林省,220000,2008,776825.8863
江苏省,320000,2008,2107975.055
江西省,360000,2008,427748.1647
辽宁省,210000,2008,1220746.09
青海省,630000,2008,117884.2039
山东省,370000,2008,2389104.408
山西省,140000,2008,1132855.729
陕西省,610000,2008,881875.0431
四川省,510000,2008,712845.9137
台湾省,710000,2008,875992.2902
云南省,530000,2008,690577.102
浙江省,330000,2008,1443494.082
北京市,110000,2008,447560.898
上海市,310000,2008,395238.2353
天津市,120000,2008,420235.0275
重庆市,500000,2008,267668.9686
广西壮族自治区,450000,2008,651685.0784
内蒙古自治区,150000,2008,952594.949
宁夏回族自治区,640000,2008,205289.0588
西藏自治区,540000,2008,40694.29412
新疆维吾尔自治区,650000,2008,860337.8314
澳门特别行政区,820000,2008,3686.568627
香港特别行政区,810000,2008,73810.96863
安徽省,340000,2009,733195.0706
福建省,350000,2009,731205.7961
甘肃省,620000,2009,426360.7725
广东省,440000,2009,2009838.745
贵州省,520000,2009,290682.3216
海南省,460000,2009,213843.1569
河北省,130000,2009,2200134.588
河南省,410000,2009,1621522.835
黑龙江省,230000,2009,2249468.725
湖北省,420000,2009,498590.6627
湖南省,430000,2009,432110.3686
吉林省,220000,2009,1051189.247
江苏省,320000,2009,2105185.227
江西省,360000,2009,384858.8392
辽宁省,210000,2009,1400718.894
青海省,630000,2009,137473.6157
山东省,370000,2009,2751713.827
山西省,140000,2009,1138179.475
陕西省,610000,2009,907906.9725
四川省,510000,2009,792121.2902
台湾省,710000,2009,855983.9725
云南省,530000,2009,689027.6039
浙江省,330000,2009,1262847.992
北京市,110000,2009,461218.7961
上海市,310000,2009,366425.8784
天津市,120000,2009,446310.5961
重庆市,500000,2009,268986.3176
广西壮族自治区,450000,2009,672953.1647
内蒙古自治区,150000,2009,1122996.455
宁夏回族自治区,640000,2009,218560.9804
西藏自治区,540000,2009,43983.81569
新疆维吾尔自治区,650000,2009,832225.7686
澳门特别行政区,820000,2009,3777.913725
香港特别行政区,810000,2009,71107.92549
安徽省,340000,2010,1010256.671
福建省,350000,2010,799702.9765
甘肃省,620000,2010,561824.902
广东省,440000,2010,2016667.965
贵州省,520000,2010,325177.7569
海南省,460000,2010,251411.7294
河北省,130000,2010,2111966.549
河南省,410000,2010,1623061.369
黑龙江省,230000,2010,1857506.498
湖北省,420000,2010,774742.6353
湖南省,430000,2010,585357.5294
吉林省,220000,2010,991727.0392
江苏省,320000,2010,2401883.725
江西省,360000,2010,488982.3333
辽宁省,210000,2010,1359872.714
青海省,630000,2010,156586.4157
山东省,370000,2010,2645399.945
山西省,140000,2010,1211600.776
陕西省,610000,2010,1120875.373
四川省,510000,2010,910091.2902
台湾省,710000,2010,901426.6902
云南省,530000,2010,877819.251
浙江省,330000,2010,1546169.722
北京市,110000,2010,499213.9412
上海市,310000,2010,416504.8706
天津市,120000,2010,463978.702
重庆市,500000,2010,290049.3882
广西壮族自治区,450000,2010,668937.2588
内蒙古自治区,150000,2010,1255981.369
宁夏回族自治区,640000,2010,273493.9059
西藏自治区,540000,2010,51826.79216
新疆维吾尔自治区,650000,2010,1091459.443
澳门特别行政区,820000,2010,3605.713725
香港特别行政区,810000,2010,70630.67059
安徽省,340000,2011,1198972.176
福建省,350000,2011,940373.1412
甘肃省,620000,2011,552590.0941
广东省,440000,2011,2456277.8
贵州省,520000,2011,360786.349
海南省,460000,2011,263385.3255
河北省,130000,2011,2164317.208
河南省,410000,2011,1858226.027
黑龙江省,230000,2011,1736902.545
湖北省,420000,2011,843443.2549
湖南省,430000,2011,666313.9765
吉林省,220000,2011,1005147.431
江苏省,320000,2011,2596526.384
江西省,360000,2011,568521.149
辽宁省,210000,2011,1474497.541
青海省,630000,2011,165138.8745
山东省,370000,2011,2784722.459
山西省,140000,2011,1282422.063
陕西省,610000,2011,1083822.129
四川省,510000,2011,914366.1137
台湾省,710000,2011,926503.0235
云南省,530000,2011,886983.7529
浙江省,330000,2011,1675119.925
北京市,110000,2011,487835.1137
上海市,310000,2011,439577.651
天津市,120000,2011,465746.9804
重庆市,500000,2011,333504.3059
广西壮族自治区,450000,2011,807481.2392
内蒙古自治区,150000,2011,1346446.439
宁夏回族自治区,640000,2011,283718.1137
西藏自治区,540000,2011,55493.18431
新疆维吾尔自治区,650000,2011,1253686.239
澳门特别行政区,820000,2011,4052.698039
香港特别行政区,810000,2011,78849.81176
安徽省,340000,2012,1136862.745
福建省,350000,2012,1023423.02
甘肃省,620000,2012,650548.6078
广东省,440000,2012,2356682.878
贵州省,520000,2012,403291.4824
海南省,460000,2012,322893.5569
河北省,130000,2012,2251793.757
河南省,410000,2012,1925443.882
黑龙江省,230000,2012,1880481.659
湖北省,420000,2012,794557.4588
湖南省,430000,2012,637397.6902
吉林省,220000,2012,862780.6706
江苏省,320000,2012,2640575.31
江西省,360000,2012,551469.8863
辽宁省,210000,2012,1606410.247
青海省,630000,2012,176004.4431
山东省,370000,2012,2976003.565
山西省,140000,2012,1421260.812
陕西省,610000,2012,1197346.784
四川省,510000,2012,937266.9765
台湾省,710000,2012,979809.1294
云南省,530000,2012,925608.2314
浙江省,330000,2012,1715831.086
北京市,110000,2012,507775.949
上海市,310000,2012,415203.898
天津市,120000,2012,477566.4588
重庆市,500000,2012,378118.6627
广西壮族自治区,450000,2012,781206.5725
内蒙古自治区,150000,2012,1622951.729
宁夏回族自治区,640000,2012,318378.2588
西藏自治区,540000,2012,62900.52549
新疆维吾尔自治区,650000,2012,1368411.518
澳门特别行政区,820000,2012,3771.156863
香港特别行政区,810000,2012,72583.20392
安徽省,340000,2013,1346748.98
福建省,350000,2013,1134227.898
甘肃省,620000,2013,702918.6549
广东省,440000,2013,2626535.365
贵州省,520000,2013,471362.0078
海南省,460000,2013,322490.9059
河北省,130000,2013,2395630.435
河南省,410000,2013,2114474.718
黑龙江省,230000,2013,2130086.961
湖北省,420000,2013,1009306.294
湖南省,430000,2013,806857.8667
吉林省,220000,2013,979281.6
江苏省,320000,2013,2999907.522
江西省,360000,2013,636556.2667
辽宁省,210000,2013,1590556.051
青海省,630000,2013,186143.0941
山东省,370000,2013,3349262.239
山西省,140000,2013,1438309.125
陕西省,610000,2013,1231051.043
四川省,510000,2013,1081488.992
台湾省,710000,2013,945315.8314
云南省,530000,2013,960460.5725
浙江省,330000,2013,1825129.675
北京市,110000,2013,525954.6863
上海市,310000,2013,457879.1098
天津市,120000,2013,525370.6667
重庆市,500000,2013,402354.0235
广西壮族自治区,450000,2013,836862.749
内蒙古自治区,150000,2013,1483675.153
宁夏回族自治区,640000,2013,315259.2941
西藏自治区,540000,2013,65270.06275
新疆维吾尔自治区,650000,2013,1382956.596
澳门特别行政区,820000,2013,3949.498039
香港特别行政区,810000,2013,75502.79216
