region,regionCode,year,ccnl
青海省,630000,1999,26488.01671
山东省,370000,1999,958450.0282
山西省,140000,1999,476822.5261
陕西省,610000,1999,262310.7157
四川省,510000,1999,184197.0694
台湾省,710000,1999,586174.2052
云南省,530000,1999,215619.9846
浙江省,330000,1999,428748.3926
北京市,110000,1999,253041.7412
上海市,310000,1999,201854.8605
天津市,120000,1999,187202.1029
重庆市,500000,1999,67896.3108
广西壮族自治区,450000,1999,195105.9832
内蒙古自治区,150000,1999,234460.2459
宁夏回族自治区,640000,1999,61717.71619
西藏自治区,540000,1999,10836.30665
新疆维吾尔自治区,650000,1999,320033.3768
澳门特别行政区,820000,1999,3116.365678
香港特别行政区,810000,1999,60858.02605
安徽省,340000,2000,257042.7777
福建省,350000,2000,301008.7826
甘肃省,620000,2000,118491.9482
广东省,440000,2000,959262.4734
贵州省,520000,2000,89746.26934
海南省,460000,2000,79478.032
河北省,130000,2000,719306.355
河南省,410000,2000,524955.4617
黑龙江省,230000,2000,620948.2017
湖北省,420000,2000,236331.3351
湖南省,430000,2000,161379.8019
吉林省,220000,2000,358213.3886
江苏省,320000,2000,628418.4296
江西省,360000,2000,93409.39642
辽宁省,210000,2000,546877.7309
青海省,630000,2000,30509.17217
山东省,370000,2000,928097.2604
山西省,140000,2000,462548.8477
陕西省,610000,2000,264161.0839
四川省,510000,2000,198543.7865
台湾省,710000,2000,563854.4125
云南省,530000,2000,222150.026
浙江省,330000,2000,427952.3419
北京市,110000,2000,235111.9496
上海市,310000,2000,194691.5872
天津市,120000,2000,171873.9683
重庆市,500000,2000,68959.97546
广西壮族自治区,450000,2000,179154.6727
内蒙古自治区,150000,2000,273356.7733
宁夏回族自治区,640000,2000,59253.67656
西藏自治区,540000,2000,10947.64132
新疆维吾尔自治区,650000,2000,324710.94
澳门特别行政区,820000,2000,3156.080077
香港特别行政区,810000,2000,64299.87219
安徽省,340000,2001,233811.9953
福建省,350000,2001,319119.9572
甘肃省,620000,2001,146205.5759
广东省,440000,2001,980291.4872
贵州省,520000,2001,92049.61214
海南省,460000,2001,77051.23701
河北省,130000,2001,824333.1288
河南省,410000,2001,580456.8662
黑龙江省,230000,2001,583442.4046
湖北省,420000,2001,235193.6276
湖南省,430000,2001,175425.8865
吉林省,220000,2001,314595.5392
江苏省,320000,2001,648750.2801
江西省,360000,2001,111376.6037
辽宁省,210000,2001,577168.1319
青海省,630000,2001,40433.92218
山东省,370000,2001,1059595.838
山西省,140000,2001,514561.3201
陕西省,610000,2001,273283.5161
四川省,510000,2001,231479.1359
台湾省,710000,2001,597835.4675
云南省,530000,2001,252844.7968
浙江省,330000,2001,468292.9079
北京市,110000,2001,276735.3736
上海市,310000,2001,193246.8075
天津市,120000,2001,206080.5644
重庆市,500000,2001,81076.84792
广西壮族自治区,450000,2001,196839.1329
内蒙古自治区,150000,2001,275683.9524
宁夏回族自治区,640000,2001,65847.06765
西藏自治区,540000,2001,12368.58015
新疆维吾尔自治区,650000,2001,330985.3072
澳门特别行政区,820000,2001,3349.223773
香港特别行政区,810000,2001,64687.19102
安徽省,340000,2002,304213.9524
福建省,350000,2002,343015.8059
甘肃省,620000,2002,161060.3862
广东省,440000,2002,1037196.228
贵州省,520000,2002,103788.4862
海南省,460000,2002,93082.03734
河北省,130000,2002,839689.1995
河南省,410000,2002,678042.1112
黑龙江省,230000,2002,664639.2976
湖北省,420000,2002,289953.0307
湖南省,430000,2002,215994.8682
吉林省,220000,2002,284916.8559
江苏省,320000,2002,839143.2187
江西省,360000,2002,157059.718
辽宁省,210000,2002,512647.3629
青海省,630000,2002,44520.11144
山东省,370000,2002,1124353.845
山西省,140000,2002,537490.2354
陕西省,610000,2002,303186.7015
四川省,510000,2002,288482.1925
台湾省,710000,2002,664496.7333
云南省,530000,2002,279155.4622
浙江省,330000,2002,596820.2277
北京市,110000,2002,301845.1468
上海市,310000,2002,242768.8965
天津市,120000,2002,218458.5155
重庆市,500000,2002,109593.9462
广西壮族自治区,450000,2002,204540.8611
内蒙古自治区,150000,2002,293968.6135
宁夏回族自治区,640000,2002,73883.69408
西藏自治区,540000,2002,14861.89402
新疆维吾尔自治区,650000,2002,361668.3944
澳门特别行政区,820000,2002,3120.800496
香港特别行政区,810000,2002,63983.36593
安徽省,340000,2003,325445.458
福建省,350000,2003,370004.6469
甘肃省,620000,2003,161957.873
广东省,440000,2003,1248055.176
贵州省,520000,2003,122456.259
海南省,460000,2003,101438.8292
河北省,130000,2003,807085.9658
河南省,410000,2003,668656.4254
黑龙江省,230000,2003,608297.8843
湖北省,420000,2003,273639.8462
湖南省,430000,2003,220542.3891
吉林省,220000,2003,320400.614
江苏省,320000,2003,949463.0774
江西省,360000,2003,198004.3249
辽宁省,210000,2003,563408.139
青海省,630000,2003,48672.50148
山东省,370000,2003,1211271.749
山西省,140000,2003,532122.1926
陕西省,610000,2003,301101.396
四川省,510000,2003,312726.8248
台湾省,710000,2003,683685.9425
云南省,530000,2003,289920.7164
浙江省,330000,2003,677187.9352
北京市,110000,2003,301872.708
上海市,310000,2003,272351.1151
天津市,120000,2003,226210.3608
重庆市,500000,2003,113737.4208
广西壮族自治区,450000,2003,252354.5122
内蒙古自治区,150000,2003,327838.1241
宁夏回族自治区,640000,2003,84232.98149
西藏自治区,540000,2003,17491.4034
新疆维吾尔自治区,650000,2003,398889.92
澳门特别行政区,820000,2003,3800.062279
香港特别行政区,810000,2003,75028.01804
安徽省,340000,2004,373412.8512
福建省,350000,2004,390820.707
甘肃省,620000,2004,193479.283
广东省,440000,2004,1385070.958
贵州省,520000,2004,134377.027
海南省,460000,2004,111359.0762
河北省,130000,2004,974880.2164
河南省,410000,2004,748811.1048
黑龙江省,230000,2004,783557.7667
湖北省,420000,2004,323921.4001
湖南省,430000,2004,271512.3583
吉林省,220000,2004,381859.7363
江苏省,320000,2004,1084421.987
江西省,360000,2004,224897.8903
辽宁省,210000,2004,667737.2214
青海省,630000,2004,54441.418
山东省,370000,2004,1447334.076
山西省,140000,2004,692043.332
陕西省,610000,2004,383894.7331
四川省,510000,2004,351676.589
台湾省,710000,2004,679432.0586
云南省,530000,2004,297055.4777
浙江省,330000,2004,737136.6053
北京市,110000,2004,368418.3139
上海市,310000,2004,307099.571
天津市,120000,2004,268105.6602
重庆市,500000,2004,128168.8783
广西壮族自治区,450000,2004,259646.9007
内蒙古自治区,150000,2004,447729.7988
宁夏回族自治区,640000,2004,101239.8302
西藏自治区,540000,2004,21880.27849
新疆维吾尔自治区,650000,2004,442224.1365
澳门特别行政区,820000,2004,3984.521338
香港特别行政区,810000,2004,77174.48131
安徽省,340000,2005,370083.2388
福建省,350000,2005,365058.3252
甘肃省,620000,2005,198184.3204
广东省,440000,2005,1320099.877
贵州省,520000,2005,129554.6204
海南省,460000,2005,100503.4386
河北省,130000,2005,995546.607
河南省,410000,2005,775972.2689
黑龙江省,230000,2005,771559.0103
湖北省,420000,2005,304550.6072
湖南省,430000,2005,243185.0847
吉林省,220000,2005,406250.2579
江苏省,320000,2005,1143771.66
江西省,360000,2005,191166.4791
辽宁省,210000,2005,691154.0669
青海省,630000,2005,56669.65955
山东省,370000,2005,1409985.204
山西省,140000,2005,674454.5359
陕西省,610000,2005,412545.4265
四川省,510000,2005,343137.6091
台湾省,710000,2005,705255.1276
云南省,530000,2005,318978.7769
浙江省,330000,2005,742717.2855
北京市,110000,2005,394925.8641
上海市,310000,2005,343777.3518
天津市,120000,2005,294978.662
重庆市,500000,2005,133411.4305
广西壮族自治区,450000,2005,228959.5804
内蒙古自治区,150000,2005,476658.186
宁夏回族自治区,640000,2005,105336.0962
西藏自治区,540000,2005,22996.84456
新疆维吾尔自治区,650000,2005,464150.7885
澳门特别行政区,820000,2005,4327.579305
香港特别行政区,810000,2005,75958.1287
安徽省,340000,2006,433510.4462
福建省,350000,2006,431565.5147
甘肃省,620000,2006,233367.3498
广东省,440000,2006,1396646.855
贵州省,520000,2006,153546.9735
海南省,460000,2006,120977.8275
河北省,130000,2006,1104776.508
河南省,410000,2006,986941.8976
黑龙江省,230000,2006,825362.8744
湖北省,420000,2006,386207.1359
湖南省,430000,2006,302501.9597
