year,regionid,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,ccnl1s,e1s,egdp1s,hdmsp1s,hviirs1s,viirs1s,vl1s,panda1s,ccnl1m,e1m,egdp1m,hdmsp1m,hviirs1m,panda1m,viirs1m,vl1m
1993,640000,宁夏回族自治区,103.82,20.84,45.61,38.04,19.9445,43.6501,36.4054,2148,10231,6317,3914,52.67,,,495,,,,446,8301,,34267.18833,8725669933,26430.07005,70285.65882,,,,7530562.145,0.524021569,168548.2577,0.507974451,6.80613085,,99.10100974,,
1993,410000,河南省,1662.76,410.45,764.2,485.53,24.7232,46.0312,29.2456,1865,130931,75053,55878,450.43,,,8946,,,,3456,46487,,304764.2957,51074083545,153107.5035,613604.9529,,,,62353818.71,1.523361125,314235.1674,0.922028475,6.097897971,,268.2131864,,
1993,450000,广西壮族自治区,893.58,245.6,321.1,305,28.1748,36.8361,34.9891,1982,205805,89317,116488,278.07,,,4438,,,,2294,38495,,69691.58951,24316852528,71100.93069,153636.6078,,,,-24420127.24,0.26719097,104498.2268,0.299776665,6.662546933,,-80.5688358,,
1993,360000,江西省,723.06,225.58,282.46,215,31.1988,39.0656,29.7356,1835,116747,61415,55332,185.5,,,3966,,,,1644,34207,,49828.14896,17907440945,54511.0588,114897.5529,,,,9438884.529,0.263418011,109103.4624,0.325310054,5.654614478,,42.94067325,,
1993,230000,黑龙江省,1203.22,198.41,649.7,350.24,16.5569,54.2162,29.2269,3306,330012,168677,161335,,,,3640,,,,5262,48023,,361578.3692,57712226378,160970.3387,744406.7255,,,,45141189.12,0.535536574,128880.9727,0.355662754,6.719562213,,57.56233633,,
1993,370000,山东省,2779.49,596.63,1355.71,818.03,21.5361,48.9361,29.5278,3212,727936,419987,307949,892.48,,,8642,,,,2048,46033,,570670.4168,83303685699,248819.4581,1116973.608,,,,36413427.92,2.905026525,550799.3167,1.610954329,6.136403669,,159.5155011,,
1994,120000,天津市,833.6,46.53,404.08,274.53,23.5,45.2,31.3,7751,554529,269121,285408,315.97,,,935,,,,4033,4156,,145585.958,22210543893,64780.50084,202469.2,,,,-2260824.651,9.306075351,1953987.244,5.699126938,11.59403358,,-124.3573087,,
1994,410000,河南省,2224.43,546.68,1071.74,606.01,24.6604,47.766,27.5736,2467,163550,102380,61170,628.03,,,9027,,,,3350,47704,,393814.99,56667392488,169060.6742,571056.6471,,,,68441977.07,1.968480083,345023.3899,1.018100041,6.725685218,,294.4012272,,
1994,640000,宁夏回族自治区,133.97,29.93,55.78,48.26,21.9727,41.1052,36.9221,2740,17294,10923,6371,60.98,,,504,,,,453,8324,,42844.67559,9399223557,28600.90957,63188.17647,,,,7842841.078,0.655190438,181039.7576,0.549697042,6.520342248,,103.2105512,,
1994,230000,黑龙江省,1618.63,316.32,852.97,449.34,19.0168,52.9877,27.9955,4390,242759,124272,118487,,,,3672,,,,5262,48356,,379947.99,61834399219,173290.5882,686101.0353,,,,38306201.49,0.562743964,137700.8799,0.382884252,7.945368366,,48.84661872,,
1994,350000,福建省,1685.34,372.58,739.52,573.24,22.069,43.8442,34.0868,5193,1218953,643020,575933,538.86,,,3183,,,,1024,44608,,175751.9049,34520769724,105169.0095,257649.4275,,,,-87778854.45,1.259197051,288181.3916,0.87409355,6.749470783,,-541.2079212,,
1994,360000,江西省,948.16,314.35,338.23,295.58,33.1537,35.6722,31.1741,2376,130702,80539,50163,237.45,,,4015,,,,1644,34556,,66166.9989,19442415338,58810.05852,108060.7961,,,,11063161.87,0.349793834,117436.631,0.350965542,5.440246825,,50.33005941,,
1994,450000,广西壮族自治区,1241.83,357.74,485.57,398.52,27.5359,39.2067,33.2574,2675,303700,129038,174662,382.59,,,4493,,,,2336,39550,,111770.8412,27198827021,78566.91439,176398.7059,,,,-23017805.52,0.428518846,115767.2823,0.331254842,6.107635129,,-75.94218387,,
1994,320000,江苏省,4057.39,671.94,2186.77,1198.68,16.8576,53.896,29.2464,5801,1175685,668450,507235,1331.13,,,7021,,,,747,25891,,486538.6973,95225661681,296050.7275,607722.9882,,,,7630686.443,3.927667582,962811.1795,2.924011371,7.175945347,,53.01028487,,
1994,500000,重庆市,725.14,,,,6.4167,55.7244,37.8589,2541,,,,,,,,,,,,,,34437.80223,11741415180,36503.41319,69201.51373,,,,7814271.875,0.360550212,142826.5861,0.441614754,6.079043056,,70.40455419,,
1994,460000,海南省,330.95,107.55,83.66,139.74,31.9658,25.0979,42.9363,4702,276046,95298,180748,220.25,,,711,,,,214,13014,,50098.60289,8003181711,23704.8689,85937.86667,,,,-142689448.4,1.086547002,240813.0743,0.710343379,6.312691779,,-2937.837384,,
1994,110000,北京市,1084.03,74.77,499.84,509.42,6.8974,46.1094,46.9932,10240,2927426,834205,2093221,202.2,,,1125,,,,874.6,11532,,216308.5038,30660303310,87346.08569,262282.5059,,,,30942830.03,10.06113224,1867800.897,5.318262868,15.99490489,,1238.563196,,
1994,440000,广东省,4240.56,694.65,2139.89,1406.02,14.9869,48.782,36.2311,6530,9665215,5019850,4645365,2141.15,,,6689,,,,1725,75716,,761358.5644,1.32E+11,373527.9771,997323.4941,,,,-58653884.38,3.831205111,754345.4182,2.120136267,11.12671972,,-253.9925645,,
