city,cityCode,year,hdmsp,province,provinceCode
威海市,371000,1992,24674.98039,山东省,370000
潍坊市,370700,1992,104096.7137,山东省,370000
烟台市,370600,1992,73009.37255,山东省,370000
枣庄市,370400,1992,42968.32549,山东省,370000
淄博市,370300,1992,74057.82745,山东省,370000
大同市,140200,1992,51431.42353,山西省,140000
晋城市,140500,1992,62534.76863,山西省,140000
晋中市,140700,1992,53810.36078,山西省,140000
临汾市,141000,1992,95002.5451,山西省,140000
吕梁市,141100,1992,61798.27059,山西省,140000
朔州市,140600,1992,25802.3098,山西省,140000
太原市,140100,1992,65570.81176,山西省,140000
忻州市,140900,1992,32911.07843,山西省,140000
阳泉市,140300,1992,25083.96471,山西省,140000
运城市,140800,1992,52192.49804,山西省,140000
长治市,140400,1992,44697.59608,山西省,140000
安康市,610900,1992,3773.890196,陕西省,610000
宝鸡市,610300,1992,30768.28627,陕西省,610000
汉中市,610700,1992,13841,陕西省,610000
商洛市,611000,1992,2925.231373,陕西省,610000
铜川市,610200,1992,9463.376471,陕西省,610000
渭南市,610500,1992,56596.35294,陕西省,610000
西安市,610100,1992,66381.03137,陕西省,610000
咸阳市,610400,1992,41315.78824,陕西省,610000
延安市,610600,1992,16265.43529,陕西省,610000
榆林市,610800,1992,20428.51373,陕西省,610000
巴中市,511900,1992,1456.043137,四川省,510000
成都市,510100,1992,40009.49412,四川省,510000
达州市,511700,1992,14435.90196,四川省,510000
德阳市,510600,1992,10750.19216,四川省,510000
广安市,511600,1992,4435.254902,四川省,510000
广元市,510800,1992,8975.921569,四川省,510000
乐山市,511100,1992,6814,四川省,510000
泸州市,510500,1992,5247.666667,四川省,510000
眉山市,511400,1992,3225.258824,四川省,510000
绵阳市,510700,1992,16922.27843,四川省,510000
南充市,511300,1992,7296.054902,四川省,510000
内江市,511000,1992,8773.454902,四川省,510000
攀枝花市,510400,1992,16301.61569,四川省,510000
遂宁市,510900,1992,3844.670588,四川省,510000
雅安市,511800,1992,1298,四川省,510000
宜宾市,511500,1992,6665.54902,四川省,510000
资阳市,512000,1992,2032.282353,四川省,510000
自贡市,510300,1992,4266.937255,四川省,510000
保山市,530500,1992,4442.827451,云南省,530000
昆明市,530100,1992,43889.23137,云南省,530000
丽江市,530700,1992,3066.733333,云南省,530000
临沧市,530900,1992,2882.768627,云南省,530000
普洱市,530800,1992,4109.803922,云南省,530000
曲靖市,530300,1992,23673.92549,云南省,530000
玉溪市,530400,1992,11264.85098,云南省,530000
昭通市,530600,1992,2197.372549,云南省,530000
杭州市,330100,1992,61487.14902,浙江省,330000
湖州市,330500,1992,30459.56471,浙江省,330000
嘉兴市,330400,1992,44342.38431,浙江省,330000
金华市,330700,1992,24231.75686,浙江省,330000
丽水市,331100,1992,7358.356863,浙江省,330000
宁波市,330200,1992,55483.21176,浙江省,330000
衢州市,330800,1992,14785.42353,浙江省,330000
绍兴市,330600,1992,32860.14902,浙江省,330000
台州市,331000,1992,22390.20784,浙江省,330000
温州市,330300,1992,26192.34118,浙江省,330000
舟山市,330900,1992,5847.427451,浙江省,330000
甘南藏族自治州,623000,1992,1132,甘肃省,620000
临夏回族自治州,622900,1992,4474.301961,甘肃省,620000
黔东南苗族侗族自治州,522600,1992,2825.478431,贵州省,520000
黔南布依族苗族自治州,522700,1992,7221.517647,贵州省,520000
黔西南布依族苗族自治州,522300,1992,4266.223529,贵州省,520000
恩施土家族苗族自治州,422800,1992,3634.027451,湖北省,420000
湘西土家族苗族自治州,433100,1992,3364.803922,湖南省,430000
延边朝鲜族自治州,222400,1992,32839.44706,吉林省,220000
果洛藏族自治州,632600,1992,60,青海省,630000
海北藏族自治州,632200,1992,723,青海省,630000
海南藏族自治州,632500,1992,1229,青海省,630000
海西蒙古族藏族自治州,632800,1992,10420.23529,青海省,630000
黄南藏族自治州,632300,1992,781.7764706,青海省,630000
玉树藏族自治州,632700,1992,130,青海省,630000
