city,cityCode,year,viirsl,province,provinceCode
葫芦岛市,211400,2000,4668.951302,辽宁省,210000
锦州市,210700,2000,8055.700671,辽宁省,210000
辽阳市,211000,2000,8958.521896,辽宁省,210000
盘锦市,211100,2000,9830.710215,辽宁省,210000
沈阳市,210100,2000,71629.96639,辽宁省,210000
铁岭市,211200,2000,5700.773865,辽宁省,210000
营口市,210800,2000,6547.379787,辽宁省,210000
海东市,630200,2000,500.2023475,青海省,630000
西宁市,630100,2000,6712.576137,青海省,630000
滨州市,371600,2000,3544.398299,山东省,370000
德州市,371400,2000,6027.672641,山东省,370000
东营市,370500,2000,10984.23306,山东省,370000
菏泽市,371700,2000,3678.14835,山东省,370000
济南市,370100,2000,30126.13766,山东省,370000
济宁市,370800,2000,9085.073134,山东省,370000
聊城市,371500,2000,4121.769923,山东省,370000
临沂市,371300,2000,7323.944736,山东省,370000
青岛市,370200,2000,50176.10758,山东省,370000
日照市,371100,2000,4059.138692,山东省,370000
泰安市,370900,2000,4339.335005,山东省,370000
威海市,371000,2000,8757.492603,山东省,370000
潍坊市,370700,2000,9342.061428,山东省,370000
烟台市,370600,2000,18507.92233,山东省,370000
枣庄市,370400,2000,3063.316411,山东省,370000
淄博市,370300,2000,11249.52364,山东省,370000
大同市,140200,2000,15527.15626,山西省,140000
晋城市,140500,2000,5184.409556,山西省,140000
晋中市,140700,2000,6143.319196,山西省,140000
临汾市,141000,2000,13175.74066,山西省,140000
吕梁市,141100,2000,7124.319264,山西省,140000
朔州市,140600,2000,3355.366073,山西省,140000
太原市,140100,2000,28743.84621,山西省,140000
忻州市,140900,2000,4095.25562,山西省,140000
阳泉市,140300,2000,2748.261484,山西省,140000
运城市,140800,2000,6724.069618,山西省,140000
长治市,140400,2000,6044.006228,山西省,140000
安康市,610900,2000,357.5668668,陕西省,610000
宝鸡市,610300,2000,2451.075115,陕西省,610000
汉中市,610700,2000,528.5883543,陕西省,610000
商洛市,611000,2000,315.999127,陕西省,610000
铜川市,610200,2000,719.8986045,陕西省,610000
渭南市,610500,2000,1932.550284,陕西省,610000
西安市,610100,2000,26745.88283,陕西省,610000
咸阳市,610400,2000,3411.464087,陕西省,610000
延安市,610600,2000,4880.418296,陕西省,610000
榆林市,610800,2000,10984.62316,陕西省,610000
巴中市,511900,2000,164.3910788,四川省,510000
成都市,510100,2000,10851.23389,四川省,510000
达州市,511700,2000,312.4547884,四川省,510000
德阳市,510600,2000,805.931867,四川省,510000
广安市,511600,2000,178.5437865,四川省,510000
广元市,510800,2000,186.2104099,四川省,510000
乐山市,511100,2000,184.8819197,四川省,510000
泸州市,510500,2000,262.1676311,四川省,510000
眉山市,511400,2000,223.486711,四川省,510000
绵阳市,510700,2000,2082.090399,四川省,510000
