city,cityCode,year,ccnl,province,provinceCode
玉溪市,530400,1992,5297.371924,云南省,530000
昭通市,530600,1992,1066.461881,云南省,530000
杭州市,330100,1992,32728.56741,浙江省,330000
湖州市,330500,1992,15984.33002,浙江省,330000
嘉兴市,330400,1992,23602.57262,浙江省,330000
金华市,330700,1992,12142.31711,浙江省,330000
丽水市,331100,1992,3279.298225,浙江省,330000
宁波市,330200,1992,29235.67732,浙江省,330000
衢州市,330800,1992,7225.706776,浙江省,330000
绍兴市,330600,1992,17090.92457,浙江省,330000
台州市,331000,1992,11156.54008,浙江省,330000
温州市,330300,1992,13140.55315,浙江省,330000
舟山市,330900,1992,3005.013077,浙江省,330000
甘南藏族自治州,623000,1992,507.3894004,甘肃省,620000
临夏回族自治州,622900,1992,1971.122998,甘肃省,620000
黔东南苗族侗族自治州,522600,1992,1178.86468,贵州省,520000
黔南布依族苗族自治州,522700,1992,3198.745469,贵州省,520000
黔西南布依族苗族自治州,522300,1992,2098.922678,贵州省,520000
恩施土家族苗族自治州,422800,1992,1647.735284,湖北省,420000
湘西土家族苗族自治州,433100,1992,1590.280495,湖南省,430000
延边朝鲜族自治州,222400,1992,16066.46238,吉林省,220000
果洛藏族自治州,632600,1992,18.40553555,青海省,630000
海北藏族自治州,632200,1992,319.6519232,青海省,630000
海南藏族自治州,632500,1992,584.6000728,青海省,630000
海西蒙古族藏族自治州,632800,1992,5013.952282,青海省,630000
黄南藏族自治州,632300,1992,379.2244436,青海省,630000
玉树藏族自治州,632700,1992,44.41681605,青海省,630000
阿坝藏族羌族自治州,513200,1992,163.165916,四川省,510000
甘孜藏族自治州,513300,1992,106.0147956,四川省,510000
凉山彝族自治州,513400,1992,2375.958955,四川省,510000
楚雄彝族自治州,532300,1992,3511.836112,云南省,530000
大理白族自治州,532900,1992,2909.750883,云南省,530000
德宏傣族景颇族自治州,533100,1992,2014.128274,云南省,530000
迪庆藏族自治州,533400,1992,124.4255127,云南省,530000
红河哈尼族彝族自治州,532500,1992,10478.79648,云南省,530000
怒江傈僳族自治州,533300,1992,283.9801277,云南省,530000
文山壮族苗族自治州,532600,1992,1300.789786,云南省,530000
西双版纳傣族自治州,532800,1992,1878.053333,云南省,530000
白沙黎族自治县,469025,1992,163.0225328,海南省,460000
保亭黎族苗族自治县,469029,1992,199.7955008,海南省,460000
昌江黎族自治县,469026,1992,1216.65068,海南省,460000
澄迈县,469023,1992,832.1674145,海南省,460000
定安县,469021,1992,195.3623922,海南省,460000
东方市,469007,1992,1498.656219,海南省,460000
乐东黎族自治县,469027,1992,428.8125844,海南省,460000
临高县,469024,1992,486.6599543,海南省,460000
陵水黎族自治县,469028,1992,387.2115291,海南省,460000
琼海市,469002,1992,515.1526987,海南省,460000
琼中黎族苗族自治县,469030,1992,203.4806294,海南省,460000
屯昌县,469022,1992,185.0219598,海南省,460000
万宁市,469006,1992,1159.375364,海南省,460000
文昌市,469005,1992,367.2281063,海南省,460000
五指山市,469001,1992,279.4202028,海南省,460000
济源市,419001,1992,5508.260835,河南省,410000
潜江市,429005,1992,3309.768451,湖北省,420000
神农架林区,429021,1992,56.98364279,湖北省,420000
天门市,429006,1992,1148.709347,湖北省,420000
仙桃市,429004,1992,1298.29168,湖北省,420000
北京市,110000,1992,142718.4999,北京市,110000
上海市,310000,1992,110095.1042,上海市,310000
天津市,120000,1992,109262.9739,天津市,120000
重庆市,500000,1992,30852.13539,重庆市,500000
阿拉善盟,152900,1992,2376.152813,内蒙古自治区,150000
锡林郭勒盟,152500,1992,3659.33952,内蒙古自治区,150000
兴安盟,152200,1992,3483.026338,内蒙古自治区,150000
阿里地区,542500,1992,1.000296196,西藏自治区,540000
阿克苏地区,652900,1992,11531.36516,新疆维吾尔自治区,650000
阿勒泰地区,654300,1992,1554.351624,新疆维吾尔自治区,650000
和田地区,653200,1992,1247.808194,新疆维吾尔自治区,650000
喀什地区,653100,1992,3599.670619,新疆维吾尔自治区,650000
塔城地区,654200,1992,11967.57942,新疆维吾尔自治区,650000
百色市,451000,1992,5688.833631,广西壮族自治区,450000
北海市,450500,1992,4948.212656,广西壮族自治区,450000
崇左市,451400,1992,2747.536464,广西壮族自治区,450000
防城港市,450600,1992,1926.609383,广西壮族自治区,450000
贵港市,450800,1992,6354.53604,广西壮族自治区,450000
桂林市,450300,1992,8524.475329,广西壮族自治区,450000
河池市,451200,1992,5890.892839,广西壮族自治区,450000
贺州市,451100,1992,2527.864519,广西壮族自治区,450000
来宾市,451300,1992,3996.159509,广西壮族自治区,450000
柳州市,450200,1992,11114.10165,广西壮族自治区,450000
南宁市,450100,1992,14359.66962,广西壮族自治区,450000
钦州市,450700,1992,2520.574849,广西壮族自治区,450000
梧州市,450400,1992,4394.497337,广西壮族自治区,450000
玉林市,450900,1992,6496.303996,广西壮族自治区,450000
巴彦淖尔市,150800,1992,3649.47671,内蒙古自治区,150000
包头市,150200,1992,18405.89571,内蒙古自治区,150000
赤峰市,150400,1992,11917.90812,内蒙古自治区,150000
鄂尔多斯市,150600,1992,10320.55184,内蒙古自治区,150000
呼和浩特市,150100,1992,14119.05762,内蒙古自治区,150000
呼伦贝尔市,150700,1992,23652.73704,内蒙古自治区,150000
通辽市,150500,1992,7625.798052,内蒙古自治区,150000
乌海市,150300,1992,9707.111614,内蒙古自治区,150000
乌兰察布市,150900,1992,4465.496947,内蒙古自治区,150000
固原市,640400,1992,1398.496618,宁夏回族自治区,640000
石嘴山市,640200,1992,7037.923434,宁夏回族自治区,640000
吴忠市,640300,1992,6092.205913,宁夏回族自治区,640000
银川市,640100,1992,13202.74885,宁夏回族自治区,640000
中卫市,640500,1992,2479.604096,宁夏回族自治区,640000
昌都市,540300,1992,75.45107377,西藏自治区,540000
拉萨市,540100,1992,1654.358497,西藏自治区,540000
林芝市,540400,1992,107.0099309,西藏自治区,540000
那曲市,540600,1992,32.87000792,西藏自治区,540000
日喀则市,540200,1992,138.7662714,西藏自治区,540000
山南市,540500,1992,764.0488775,西藏自治区,540000
哈密市,650500,1992,2475.282118,新疆维吾尔自治区,650000
克拉玛依市,650200,1992,9084.038388,新疆维吾尔自治区,650000
吐鲁番市,650400,1992,7652.869812,新疆维吾尔自治区,650000
乌鲁木齐市,650100,1992,23255.38329,新疆维吾尔自治区,650000
巴音郭楞蒙古自治州,652800,1992,15605.26624,新疆维吾尔自治区,650000
博尔塔拉蒙古自治州,652700,1992,939.3586711,新疆维吾尔自治区,650000
昌吉回族自治州,652300,1992,10855.14026,新疆维吾尔自治区,650000
克孜勒苏柯尔克孜自治州,653000,1992,119.3550744,新疆维吾尔自治区,650000
伊犁哈萨克自治州,654000,1992,5936.190523,新疆维吾尔自治区,650000
阿拉尔市,659002,1992,208.709296,新疆维吾尔自治区,650000
北屯市,659005,1992,287.1905774,新疆维吾尔自治区,650000
胡杨河市,659010,1992,249.3679896,新疆维吾尔自治区,650000
可克达拉市,659008,1992,276.4871557,新疆维吾尔自治区,650000
昆玉市,659009,1992,0,新疆维吾尔自治区,650000
石河子市,659001,1992,2283.070755,新疆维吾尔自治区,650000
双河市,659007,1992,85.05489763,新疆维吾尔自治区,650000
铁门关市,659006,1992,183.8726464,新疆维吾尔自治区,650000
图木舒克市,659003,1992,25.36408997,新疆维吾尔自治区,650000
五家渠市,659004,1992,1033.118713,新疆维吾尔自治区,650000
新星市,659011,1992,42.55354845,新疆维吾尔自治区,650000
澳门特别行政区,820000,1992,2080.701463,澳门特别行政区,820000
香港特别行政区,810000,1992,43255.28643,香港特别行政区,810000
大兴安岭地区,232700,1993,10992.04323,黑龙江省,230000
台湾省,710000,1993,319352.1814,台湾省,710000
安庆市,340800,1993,5284.390764,安徽省,340000
蚌埠市,340300,1993,6645.748213,安徽省,340000
亳州市,341600,1993,4512.157738,安徽省,340000
池州市,341700,1993,1477.881514,安徽省,340000
滁州市,341100,1993,8635.901976,安徽省,340000
阜阳市,341200,1993,7667.134831,安徽省,340000
合肥市,340100,1993,17097.93732,安徽省,340000
淮北市,340600,1993,7854.474917,安徽省,340000
淮南市,340400,1993,10706.47927,安徽省,340000
黄山市,341000,1993,1386.238733,安徽省,340000
六安市,341500,1993,3793.128745,安徽省,340000
马鞍山市,340500,1993,10088.58473,安徽省,340000
宿州市,341300,1993,8063.452236,安徽省,340000
铜陵市,340700,1993,3955.720642,安徽省,340000
芜湖市,340200,1993,7078.38198,安徽省,340000
宣城市,341800,1993,4863.442557,安徽省,340000
福州市,350100,1993,20985.80729,福建省,350000
龙岩市,350800,1993,6156.386999,福建省,350000
南平市,350700,1993,5623.197019,福建省,350000
宁德市,350900,1993,4290.608658,福建省,350000
莆田市,350300,1993,7050.377823,福建省,350000
泉州市,350500,1993,24480.97976,福建省,350000
三明市,350400,1993,6351.77519,福建省,350000
厦门市,350200,1993,12967.36301,福建省,350000
漳州市,350600,1993,11780.50159,福建省,350000
白银市,620400,1993,10314.65656,甘肃省,620000
定西市,621100,1993,2828.544358,甘肃省,620000
嘉峪关市,620200,1993,2274.54376,甘肃省,620000
金昌市,620300,1993,3206.262494,甘肃省,620000
酒泉市,620900,1993,6002.994922,甘肃省,620000
兰州市,620100,1993,22713.14419,甘肃省,620000
陇南市,621200,1993,1210.954838,甘肃省,620000
平凉市,620800,1993,3892.836106,甘肃省,620000
庆阳市,621000,1993,4692.177697,甘肃省,620000
天水市,620500,1993,4547.00224,甘肃省,620000
武威市,620600,1993,3790.141175,甘肃省,620000
张掖市,620700,1993,2837.557389,甘肃省,620000
潮州市,445100,1993,6782.830619,广东省,440000
东莞市,441900,1993,54226.96281,广东省,440000
佛山市,440600,1993,52714.84102,广东省,440000
广州市,440100,1993,74858.76777,广东省,440000
河源市,441600,1993,4929.649577,广东省,440000
惠州市,441300,1993,31112.20239,广东省,440000
江门市,440700,1993,29050.42741,广东省,440000
揭阳市,445200,1993,10137.94435,广东省,440000
茂名市,440900,1993,11547.16746,广东省,440000
梅州市,441400,1993,8670.00325,广东省,440000
清远市,441800,1993,11070.00455,广东省,440000
汕头市,440500,1993,16782.98005,广东省,440000
汕尾市,441500,1993,8454.150132,广东省,440000
韶关市,440200,1993,12274.59934,广东省,440000
深圳市,440300,1993,52231.59997,广东省,440000
阳江市,441700,1993,6683.671684,广东省,440000
云浮市,445300,1993,6138.84674,广东省,440000
湛江市,440800,1993,18454.59913,广东省,440000
肇庆市,441200,1993,14490.9507,广东省,440000
中山市,442000,1993,26658.50612,广东省,440000
珠海市,440400,1993,20120.75987,广东省,440000
安顺市,520400,1993,2409.083559,贵州省,520000
毕节市,520500,1993,1474.718534,贵州省,520000
贵阳市,520100,1993,10605.78527,贵州省,520000
六盘水市,520200,1993,8303.548257,贵州省,520000
铜仁市,520600,1993,530.1491844,贵州省,520000
遵义市,520300,1993,3826.728465,贵州省,520000
儋州市,460400,1993,4110.162838,海南省,460000
海口市,460100,1993,10525.39969,海南省,460000
三沙市,460300,1993,18.03837856,海南省,460000
三亚市,460200,1993,5798.049768,海南省,460000
保定市,130600,1993,54133.81133,河北省,130000
沧州市,130900,1993,57526.2604,河北省,130000
承德市,130800,1993,12326.56137,河北省,130000
邯郸市,130400,1993,64172.82225,河北省,130000
衡水市,131100,1993,24960.0742,河北省,130000
廊坊市,131000,1993,36689.81503,河北省,130000
秦皇岛市,130300,1993,20406.34447,河北省,130000
石家庄市,130100,1993,56644.86525,河北省,130000
唐山市,130200,1993,65760.6353,河北省,130000
邢台市,130500,1993,40118.53296,河北省,130000
张家口市,130700,1993,26512.6101,河北省,130000
安阳市,410500,1993,27859.18323,河南省,410000
鹤壁市,410600,1993,8476.468157,河南省,410000
焦作市,410800,1993,21886.06655,河南省,410000
开封市,410200,1993,13460.97506,河南省,410000
洛阳市,410300,1993,23271.35823,河南省,410000
漯河市,411100,1993,6588.69199,河南省,410000
南阳市,411300,1993,19213.67827,河南省,410000
平顶山市,410400,1993,22294.40801,河南省,410000
濮阳市,410900,1993,21466.40246,河南省,410000
三门峡市,411200,1993,11818.62601,河南省,410000
商丘市,411400,1993,11000.1012,河南省,410000
新乡市,410700,1993,29620.12041,河南省,410000
信阳市,411500,1993,6704.086865,河南省,410000
许昌市,411000,1993,13312.42254,河南省,410000
郑州市,410100,1993,42286.77313,河南省,410000
周口市,411600,1993,12435.43815,河南省,410000
驻马店市,411700,1993,8607.609248,河南省,410000
大庆市,230600,1993,50398.92008,黑龙江省,230000
哈尔滨市,230100,1993,82119.74578,黑龙江省,230000
鹤岗市,230400,1993,13952.80581,黑龙江省,230000
黑河市,231100,1993,25899.21408,黑龙江省,230000
鸡西市,230300,1993,20029.10486,黑龙江省,230000
佳木斯市,230800,1993,24665.25588,黑龙江省,230000
牡丹江市,231000,1993,24670.00795,黑龙江省,230000
七台河市,230900,1993,8496.353198,黑龙江省,230000
齐齐哈尔市,230200,1993,35062.21834,黑龙江省,230000
双鸭山市,230500,1993,12135.23191,黑龙江省,230000
绥化市,231200,1993,39162.06267,黑龙江省,230000
伊春市,230700,1993,15544.04631,黑龙江省,230000
鄂州市,420700,1993,4045.161404,湖北省,420000
黄冈市,421100,1993,6256.145527,湖北省,420000
黄石市,420200,1993,6417.791374,湖北省,420000
荆门市,420800,1993,5355.507697,湖北省,420000
荆州市,421000,1993,7023.659639,湖北省,420000
十堰市,420300,1993,6434.096166,湖北省,420000
随州市,421300,1993,2101.432548,湖北省,420000
武汉市,420100,1993,32579.26715,湖北省,420000
咸宁市,421200,1993,3082.737548,湖北省,420000
襄阳市,420600,1993,12089.19513,湖北省,420000
孝感市,420900,1993,6000.783856,湖北省,420000
宜昌市,420500,1993,9392.349137,湖北省,420000
常德市,430700,1993,4236.811422,湖南省,430000
郴州市,431000,1993,6115.482551,湖南省,430000
衡阳市,430400,1993,5318.731117,湖南省,430000
怀化市,431200,1993,3620.577466,湖南省,430000
娄底市,431300,1993,4561.716589,湖南省,430000
邵阳市,430500,1993,2905.294255,湖南省,430000
