city,cityCode,year,hviirs,province,provinceCode
日照市,371100,2013,94784.55294,山东省,370000
泰安市,370900,2013,115619.3804,山东省,370000
威海市,371000,2013,105897.1922,山东省,370000
潍坊市,370700,2013,297266.702,山东省,370000
烟台市,370600,2013,266332.0824,山东省,370000
枣庄市,370400,2013,86382,山东省,370000
淄博市,370300,2013,138786.4353,山东省,370000
大同市,140200,2013,178026.4235,山西省,140000
晋城市,140500,2013,109351.6431,山西省,140000
晋中市,140700,2013,184827.0784,山西省,140000
临汾市,141000,2013,202896.5647,山西省,140000
吕梁市,141100,2013,248768.5294,山西省,140000
朔州市,140600,2013,155738.8275,山西省,140000
太原市,140100,2013,133635.0353,山西省,140000
忻州市,140900,2013,257301.2902,山西省,140000
阳泉市,140300,2013,58661.85098,山西省,140000
运城市,140800,2013,163327.2588,山西省,140000
长治市,140400,2013,175730.6,山西省,140000
安康市,610900,2013,92675.00392,陕西省,610000
宝鸡市,610300,2013,119059.3765,陕西省,610000
汉中市,610700,2013,121792.3098,陕西省,610000
商洛市,611000,2013,106642.0118,陕西省,610000
铜川市,610200,2013,42627.72941,陕西省,610000
渭南市,610500,2013,165280.2431,陕西省,610000
西安市,610100,2013,210729.7137,陕西省,610000
咸阳市,610400,2013,158124.7922,陕西省,610000
延安市,610600,2013,412074.5216,陕西省,610000
榆林市,610800,2013,493109.6667,陕西省,610000
巴中市,511900,2013,62669.97647,四川省,510000
成都市,510100,2013,355115.1961,四川省,510000
达州市,511700,2013,108305.2392,四川省,510000
德阳市,510600,2013,91794.40784,四川省,510000
广安市,511600,2013,64798.82353,四川省,510000
广元市,510800,2013,93883.86275,四川省,510000
乐山市,511100,2013,99640.07843,四川省,510000
泸州市,510500,2013,87478.44314,四川省,510000
眉山市,511400,2013,69857.43529,四川省,510000
绵阳市,510700,2013,141506.102,四川省,510000
南充市,511300,2013,109286.1216,四川省,510000
内江市,511000,2013,62749.68627,四川省,510000
攀枝花市,510400,2013,77478.76078,四川省,510000
遂宁市,510900,2013,63519.35294,四川省,510000
雅安市,511800,2013,76284.55294,四川省,510000
宜宾市,511500,2013,102140.0824,四川省,510000
资阳市,512000,2013,56524.98824,四川省,510000
自贡市,510300,2013,46246.85098,四川省,510000
保山市,530500,2013,98227.08235,云南省,530000
昆明市,530100,2013,266110.3922,云南省,530000
丽江市,530700,2013,92275.38431,云南省,530000
临沧市,530900,2013,102151.5373,云南省,530000
普洱市,530800,2013,107120.0745,云南省,530000
曲靖市,530300,2013,224605.8118,云南省,530000
玉溪市,530400,2013,119073.6902,云南省,530000
昭通市,530600,2013,146563.8863,云南省,530000
杭州市,330100,2013,307304.9255,浙江省,330000
湖州市,330500,2013,124590.1294,浙江省,330000
嘉兴市,330400,2013,173373.8392,浙江省,330000
金华市,330700,2013,181689.2,浙江省,330000
丽水市,331100,2013,101045.1843,浙江省,330000
宁波市,330200,2013,335314.9373,浙江省,330000
衢州市,330800,2013,79470.25882,浙江省,330000
绍兴市,330600,2013,174827.2706,浙江省,330000
台州市,331000,2013,193101.2902,浙江省,330000
温州市,330300,2013,213360.6941,浙江省,330000
舟山市,330900,2013,50474.94902,浙江省,330000
甘南藏族自治州,623000,2013,81676.05098,甘肃省,620000
临夏回族自治州,622900,2013,65129.98824,甘肃省,620000
黔东南苗族侗族自治州,522600,2013,157421.4392,贵州省,520000
黔南布依族苗族自治州,522700,2013,178419.4706,贵州省,520000
黔西南布依族苗族自治州,522300,2013,123978.0902,贵州省,520000
恩施土家族苗族自治州,422800,2013,93259.3451,湖北省,420000
湘西土家族苗族自治州,433100,2013,65370.01176,湖南省,430000
延边朝鲜族自治州,222400,2013,171324.8157,吉林省,220000
果洛藏族自治州,632600,2013,34364.5098,青海省,630000
海北藏族自治州,632200,2013,52940.94902,青海省,630000
海南藏族自治州,632500,2013,70312.97255,青海省,630000
海西蒙古族藏族自治州,632800,2013,276017.9804,青海省,630000
黄南藏族自治州,632300,2013,21492.21176,青海省,630000
玉树藏族自治州,632700,2013,39881.54118,青海省,630000
阿坝藏族羌族自治州,513200,2013,125987.8549,四川省,510000
甘孜藏族自治州,513300,2013,175101.2392,四川省,510000
凉山彝族自治州,513400,2013,220870.5725,四川省,510000
楚雄彝族自治州,532300,2013,114728.1765,云南省,530000
大理白族自治州,532900,2013,167888.1137,云南省,530000
德宏傣族景颇族自治州,533100,2013,65044.51373,云南省,530000
迪庆藏族自治州,533400,2013,49111.74902,云南省,530000
红河哈尼族彝族自治州,532500,2013,187463.5137,云南省,530000
怒江傈僳族自治州,533300,2013,46419.41961,云南省,530000
文山壮族苗族自治州,532600,2013,156347.2471,云南省,530000
西双版纳傣族自治州,532800,2013,53791.96863,云南省,530000
白沙黎族自治县,469025,2013,10623.83529,海南省,460000
保亭黎族苗族自治县,469029,2013,9115.486275,海南省,460000
昌江黎族自治县,469026,2013,14741.32549,海南省,460000
澄迈县,469023,2013,25971.92549,海南省,460000
定安县,469021,2013,11061.35294,海南省,460000
东方市,469007,2013,24012.58824,海南省,460000
乐东黎族自治县,469027,2013,19746.72157,海南省,460000
临高县,469024,2013,13251.18431,海南省,460000
陵水黎族自治县,469028,2013,18392.67451,海南省,460000
琼海市,469002,2013,16014.10196,海南省,460000
琼中黎族苗族自治县,469030,2013,11779.30196,海南省,460000
屯昌县,469022,2013,8432.321569,海南省,460000
万宁市,469006,2013,25446.84706,海南省,460000
文昌市,469005,2013,28154.65882,海南省,460000
五指山市,469001,2013,7032.745098,海南省,460000
济源市,419001,2013,27749.57255,河南省,410000
潜江市,429005,2013,23098.64314,湖北省,420000
神农架林区,429021,2013,5638.423529,湖北省,420000
天门市,429006,2013,24923.23922,湖北省,420000
仙桃市,429004,2013,25894.28235,湖北省,420000
北京市,110000,2013,485651.8627,北京市,110000
上海市,310000,2013,452601.6588,上海市,310000
天津市,120000,2013,472589.2706,天津市,120000
重庆市,500000,2013,716369.0118,重庆市,500000
