region,regionCode,year,viirsl
陕西省,610000,2010,213272.3579
四川省,510000,2010,133655.8204
台湾省,710000,2010,314502.873
云南省,530000,2010,129207.0656
浙江省,330000,2010,328310.9879
北京市,110000,2010,292126.1824
上海市,310000,2010,252570.6997
天津市,120000,2010,189531.5742
重庆市,500000,2010,34698.48049
广西壮族自治区,450000,2010,55005.7238
内蒙古自治区,150000,2010,263261.9712
宁夏回族自治区,640000,2010,57956.2865
西藏自治区,540000,2010,11016.65876
新疆维吾尔自治区,650000,2010,195176.6218
澳门特别行政区,820000,2010,1404.365714
香港特别行政区,810000,2010,25119.65917
安徽省,340000,2011,222011.2178
福建省,350000,2011,238426.4092
甘肃省,620000,2011,109516.9715
广东省,440000,2011,1017971.402
贵州省,520000,2011,35912.62978
海南省,460000,2011,36305.80422
河北省,130000,2011,405346.8464
河南省,410000,2011,337007.8863
黑龙江省,230000,2011,338071.3661
湖北省,420000,2011,126522.4044
湖南省,430000,2011,73522.38825
吉林省,220000,2011,210980.9555
江苏省,320000,2011,951837.3098
江西省,360000,2011,75573.67567
辽宁省,210000,2011,448412.7397
青海省,630000,2011,39387.85694
山东省,370000,2011,677279.394
山西省,140000,2011,249141.9102
陕西省,610000,2011,203494.5489
四川省,510000,2011,124971.037
台湾省,710000,2011,496873.228
云南省,530000,2011,165541.586
浙江省,330000,2011,480366.2267
北京市,110000,2011,396242.5505
上海市,310000,2011,341379.5706
天津市,120000,2011,256130.7408
重庆市,500000,2011,42245.02618
广西壮族自治区,450000,2011,98427.04665
内蒙古自治区,150000,2011,384355.7974
宁夏回族自治区,640000,2011,81938.77889
西藏自治区,540000,2011,19185.29139
新疆维吾尔自治区,650000,2011,306289.1925
澳门特别行政区,820000,2011,4782.561893
香港特别行政区,810000,2011,53916.78098
安徽省,340000,2012,159256.7638
福建省,350000,2012,210249.3716
甘肃省,620000,2012,118401.8542
广东省,440000,2012,644422.6113
贵州省,520000,2012,38601.24697
海南省,460000,2012,45775.64219
河北省,130000,2012,356958.2035
河南省,410000,2012,262081.8958
黑龙江省,230000,2012,310568.3092
湖北省,420000,2012,87269.97054
湖南省,430000,2012,55057.58647
吉林省,220000,2012,184976.8352
江苏省,320000,2012,649246.5773
江西省,360000,2012,59227.63869
辽宁省,210000,2012,487949.653
青海省,630000,2012,45929.95978
山东省,370000,2012,540196.9103
山西省,140000,2012,295740.283
陕西省,610000,2012,262743.0018
四川省,510000,2012,138268.0114
台湾省,710000,2012,609920.1177
云南省,530000,2012,231819.348
浙江省,330000,2012,451369.2551
北京市,110000,2012,361947.422
上海市,310000,2012,234001.4925
天津市,120000,2012,229331.4184
重庆市,500000,2012,69170.68666
广西壮族自治区,450000,2012,92849.17202
内蒙古自治区,150000,2012,361781.4885
宁夏回族自治区,640000,2012,111574.8667
西藏自治区,540000,2012,20067.78262
新疆维吾尔自治区,650000,2012,358850.5513
澳门特别行政区,820000,2012,4710.36753
香港特别行政区,810000,2012,46199.97788
安徽省,340000,2013,398375.6839
福建省,350000,2013,415213.0174
甘肃省,620000,2013,150620.382
广东省,440000,2013,1082486.332
贵州省,520000,2013,184050.1417
海南省,460000,2013,75974.84033
河北省,130000,2013,449145.1483
河南省,410000,2013,454405.9615
黑龙江省,230000,2013,300458.7318
湖北省,420000,2013,268965.3744
湖南省,430000,2013,222812.0859
吉林省,220000,2013,203819.4473
江苏省,320000,2013,1227252.261
江西省,360000,2013,143309.2913
辽宁省,210000,2013,472565.3073
青海省,630000,2013,54902.84303
山东省,370000,2013,696689.5185
山西省,140000,2013,358800.6934
陕西省,610000,2013,408799.5297
四川省,510000,2013,447901.1011
台湾省,710000,2013,618469.2673
云南省,530000,2013,278374.5878
浙江省,330000,2013,766864.2071
北京市,110000,2013,293847.4429
上海市,310000,2013,441861.0891
天津市,120000,2013,273541.9657
重庆市,500000,2013,164306.2516
广西壮族自治区,450000,2013,207316.8942
内蒙古自治区,150000,2013,296991.1396
宁夏回族自治区,640000,2013,113303.274
西藏自治区,540000,2013,24208.54184
新疆维吾尔自治区,650000,2013,323573.1895
澳门特别行政区,820000,2013,5893.845472
香港特别行政区,810000,2013,70339.68741
安徽省,340000,2014,391247.9739
福建省,350000,2014,422169.9223
甘肃省,620000,2014,159003.6082
广东省,440000,2014,1096228.659
贵州省,520000,2014,178015.2261
海南省,460000,2014,83624.80869
河北省,130000,2014,474918.8898
河南省,410000,2014,457912.1044
黑龙江省,230000,2014,267426.8437
湖北省,420000,2014,264721.3104
湖南省,430000,2014,217993.8543
吉林省,220000,2014,186478.8126
江苏省,320000,2014,1197776.828
江西省,360000,2014,132105.2858
辽宁省,210000,2014,459959.0746
青海省,630000,2014,59752.40941
山东省,370000,2014,731173.7417
山西省,140000,2014,348216.7523
陕西省,610000,2014,390861.5313
四川省,510000,2014,420558.102
台湾省,710000,2014,641217.3073
云南省,530000,2014,282469.7687
浙江省,330000,2014,758413.3476
北京市,110000,2014,302517.3895
上海市,310000,2014,420684.8684
天津市,120000,2014,281438.437
重庆市,500000,2014,154470.9243
广西壮族自治区,450000,2014,224636.5367
内蒙古自治区,150000,2014,291406.9927
宁夏回族自治区,640000,2014,118908.9438
