year,countyCode,total_sol,urban_sol,agriculture_sol
2001,510184,181.6306459,163.006287,2.45210886
2001,510181,150.7082899,124.1506761,21.14955509
2001,510185,129.0349831,101.3748318,24.6532288
2001,510182,66.82739186,61.35436618,5.47302568
2001,510183,48.41010284,42.67954278,3.522282958
2001,511781,36.46554295,23.64622009,2.432051897
2001,510681,201.4206672,166.5283293,25.65925423
2001,510683,89.62329102,62.83658862,26.78670239
2001,510682,120.5504174,100.5381174,18.96644962
2001,511681,22.60635829,13.08429897,9.522059321
2001,511181,62.0863024,52.28734624,4.944275379
2001,510781,268.969738,241.5362024,17.98045075
2001,511381,203.4936576,175.8412678,0
2001,511083,124.5437925,114.4090695,9.0723598
2001,510981,292.1137016,246.0585179,2.960167289
2001,511902,194.9484535,177.0558898,0
2001,511903,5.175916195,0,0
2001,510108,1304.413202,1250.56952,2.049147367
2001,510106,3840.202353,3654.771679,145.5097708
2001,510104,1522.621769,1497.075571,14.75429821
2001,510112,539.6098208,389.9935334,4.694879174
2001,510117,873.3876674,721.3398982,113.3503334
2001,510113,150.4890165,81.61158085,51.91118119
2001,510105,2850.425931,2751.924069,65.03445631
2001,510116,1268.079205,1028.613639,199.8900053
2001,510115,62.55758078,56.1385082,4.571250796
2001,510107,5233.029805,5105.057165,104.0252396
2001,510114,454.8403486,283.1338588,121.8320688
2001,510118,118.2809595,105.0903556,10.63991523
2001,511703,200.1860413,157.2907805,18.96611699
2001,511702,167.2209557,156.771225,6.104911839
2001,510603,591.4539732,551.0162001,17.84519649
2001,510604,68.76425624,44.26955283,21.16608346
2001,511602,118.6494983,117.1208252,1.528673053
2001,511603,31.49004286,10.20187705,7.958534837
2001,510812,15.88831902,0,0
2001,510802,193.9244069,182.5887767,3.466967821
2001,510811,1.144882679,0,0
2001,511113,10.3571177,0,1.651630878
2001,511111,6.866311073,6.866311073,0
2001,511102,185.1268358,174.130234,0
2001,511112,10.69403744,9.477066994,0
2001,510502,151.0798939,116.6222406,4.683901429
2001,510504,97.59898542,93.59630418,3.355280621
2001,510503,12.00449228,7.321024418,0
2001,511402,248.8960401,211.2000213,33.26939929
2001,511403,106.201779,75.23482335,28.97895992
