SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,FixAst
2000,20405199,仙居县,台州市,浙江省,331024,3.69
2000,20405198,天台县,台州市,浙江省,331023,6.8
2000,20405197,三门县,台州市,浙江省,331022,2.47
2000,20405196,玉环县,台州市,浙江省,331021,8.58
2000,20405367,龙泉市,丽水市,浙江省,331181,5.45
2000,20405360,青田县,丽水市,浙江省,331121,4.06
2000,20405365,庆元县,丽水市,浙江省,331126,2.08
2000,20405361,缙云县,丽水市,浙江省,331122,5.94
2000,20405362,遂昌县,丽水市,浙江省,331123,2.79
2000,20405363,松阳县,丽水市,浙江省,331124,2.76
2000,20405364,云和县,丽水市,浙江省,331125,2.3
2000,20405366,景宁畲族自治县,丽水市,浙江省,331127,2.78
2000,20405128,奉化市,宁波市,浙江省,330283,6.09
2000,20405184,江山市,衢州市,浙江省,330881,6.71
2000,20405246,建德市,杭州市,浙江省,330182,8.25
2000,20405247,富阳市,杭州市,浙江省,330183,6.68
2000,20405248,临安市,杭州市,浙江省,330185,23.76
2000,20405127,慈溪市,宁波市,浙江省,330282,20.42
2000,20405244,桐庐县,杭州市,浙江省,330122,5.04
2000,20405245,淳安县,杭州市,浙江省,330127,6.96
2000,20405126,余姚市,宁波市,浙江省,330281,12.11
2000,20405242,萧山市,杭州市,浙江省,330181,46.18
2000,20407061,锦江区,成都市,四川省,510104,32.79
2000,20407062,青羊区,成都市,四川省,510105,64.4
2000,20407063,金牛区,成都市,四川省,510106,53.89
2000,20407064,武侯区,成都市,四川省,510107,47.05
2000,20407065,成华区,成都市,四川省,510108,10.51
2000,20407066,龙泉驿区,成都市,四川省,510112,21.8
2000,20407067,青白江区,成都市,四川省,510113,9.93
2000,20407070,金堂县,成都市,四川省,510121,12.24
2000,20407071,双流县,成都市,四川省,510122,14.87
2000,20407069,温江县,成都市,四川省,510123,8.12
2000,20407072,郫县,成都市,四川省,510124,21.96
2000,20407068,新都县,成都市,四川省,510125,11.95
2000,20407073,大邑县,成都市,四川省,510129,11
2000,20407074,蒲江县,成都市,四川省,510131,6.93
2000,20407075,新津县,成都市,四川省,510132,7.25
2000,20407148,都江堰市,成都市,四川省,510181,18.24
2000,20407149,彭州市,成都市,四川省,510182,8
2000,20407150,邛崃市,成都市,四川省,510183,8.77
2000,20407151,崇州市,成都市,四川省,510184,9.34
2000,20407154,自流井区,自贡市,四川省,510302,11.57
2000,20407155,贡井区,自贡市,四川省,510303,1.16
2000,20407156,大安区,自贡市,四川省,510304,3.65
2000,20407157,沿滩区,自贡市,四川省,510311,1.55
2000,20407158,荣县,自贡市,四川省,510321,3.32
2000,20407159,富顺县,自贡市,四川省,510322,6.95
2000,20407164,仁和区,攀枝花市,四川省,510411,4.32
2000,20407165,米易县,攀枝花市,四川省,510421,2.59
2000,20407166,盐边县,攀枝花市,四川省,510422,1.29
2000,20407169,江阳区,泸州市,四川省,510502,16.54
2000,20407170,纳溪区,泸州市,四川省,510503,4.79
2000,20407171,龙马潭区,泸州市,四川省,510504,11.09
2000,20407172,泸县,泸州市,四川省,510521,8.95
2000,20407246,合江县,泸州市,四川省,510522,5.4
2000,20407247,叙永县,泸州市,四川省,510524,3.18
2000,20407248,古蔺县,泸州市,四川省,510525,4.01
2000,20407251,旌阳区,德阳市,四川省,510603,19.84
2000,20407252,中江县,德阳市,四川省,510623,6.51
2000,20407253,罗江县,德阳市,四川省,510626,2.31
2000,20407254,广汉市,德阳市,四川省,510681,6.09
2000,20407255,什邡市,德阳市,四川省,510682,7.16
2000,20407256,绵竹市,德阳市,四川省,510683,7.92
2000,20407259,涪城区,绵阳市,四川省,510703,59.29
2000,20407260,游仙区,绵阳市,四川省,510704,4
2000,20407261,三台县,绵阳市,四川省,510722,6.53
2000,20407262,盐亭县,绵阳市,四川省,510723,1.82
2000,20407263,安县,绵阳市,四川省,510724,3.25
2000,20407264,梓潼县,绵阳市,四川省,510725,2.01
2000,20407265,北川县,绵阳市,四川省,510726,0.99
2000,20407266,平武县,绵阳市,四川省,510727,1.05
2000,20407267,江油市,绵阳市,四川省,510781,13.41
2000,20407343,元坝区,广元市,四川省,510811,1.29
2000,20407344,朝天区,广元市,四川省,510812,1.06
2000,20407345,旺苍县,广元市,四川省,510821,2.79
2000,20407346,青川县,广元市,四川省,510822,1.73
2000,20407347,剑阁县,广元市,四川省,510823,3.19
2000,20407348,苍溪县,广元市,四川省,510824,4.8
2000,20407353,蓬溪县,遂宁市,四川省,510921,3.7
2000,20407354,射洪县,遂宁市,四川省,510922,11.05
2000,20407355,大英县,遂宁市,四川省,510923,4.49
2000,20406680,市中区,内江市,四川省,511002,11.35
2000,20406681,东兴区,内江市,四川省,511011,5.32
2000,20406682,威远县,内江市,四川省,511024,6.68
2000,20406683,资中县,内江市,四川省,511025,5.02
2000,20406684,隆昌县,内江市,四川省,511028,3.99
2000,20406687,市中区,乐山市,四川省,511102,15.53
2000,20406688,沙湾区,乐山市,四川省,511111,2.6
2000,20406689,五通桥区,乐山市,四川省,511112,2.81
2000,20406690,金口河区,乐山市,四川省,511113,2.05
2000,20406691,犍为县,乐山市,四川省,511123,4.27
2000,20406692,井研县,乐山市,四川省,511124,3.06
2000,20406693,夹江县,乐山市,四川省,511126,5.67
2000,20406694,沐川县,乐山市,四川省,511129,1.9
2000,20406695,峨边彝族自治县,乐山市,四川省,511132,1.9
2000,20406696,马边彝族自治县,乐山市,四川省,511133,1.85
2000,20406697,峨眉山市,乐山市,四川省,511181,6.42
2000,20406504,顺庆区,南充市,四川省,511302,9.36
2000,20406505,高坪区,南充市,四川省,511303,4.16
2000,20406506,嘉陵区,南充市,四川省,511304,3.11
2000,20406507,南部县,南充市,四川省,511321,9.69
2000,20406508,营山县,南充市,四川省,511322,5.33
2000,20406509,蓬安县,南充市,四川省,511323,4.13
2000,20406510,仪陇县,南充市,四川省,511324,3.21
2000,20406511,西充县,南充市,四川省,511325,2.61
2000,20406512,阆中市,南充市,四川省,511381,6.88
2000,20406515,东坡区,眉山市,四川省,511402,13.6
2000,20406516,仁寿县,眉山市,四川省,511421,10.57
2000,20406517,彭山县,眉山市,四川省,511422,4.92
2000,20406518,洪雅县,眉山市,四川省,511423,4.29
2000,20406519,丹棱县,眉山市,四川省,511424,1.56
2000,20406520,青神县,眉山市,四川省,511425,2.48
2000,20406523,翠屏区,宜宾市,四川省,511502,30.94
2000,20406525,宜宾县,宜宾市,四川省,511521,3.6
2000,20406524,南溪县,宜宾市,四川省,511522,2.21
2000,20406526,江安县,宜宾市,四川省,511523,1.99
2000,20406527,长宁县,宜宾市,四川省,511524,1.85
2000,20406528,高县,宜宾市,四川省,511525,3.19
2000,20406529,珙县,宜宾市,四川省,511526,5.25
2000,20406530,筠连县,宜宾市,四川省,511527,0.89
2000,20406531,兴文县,宜宾市,四川省,511528,1.88
2000,20406532,屏山县,宜宾市,四川省,511529,0.88
