SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,PopNum,Pop_Agr,Pop_NonAgr,ResdPop_Urban,ResdPop_Rural
2000,20407025,云龙县,大理白族自治州,云南省,532929,19.7,18.1,1.6,,
2000,20407100,洱源县,大理白族自治州,云南省,532930,32.3,30.3,2,,
2000,20407101,剑川县,大理白族自治州,云南省,532931,16.6,15,1.6,,
2000,20407102,鹤庆县,大理白族自治州,云南省,532932,25.8,23.8,2,,
2000,20407567,施甸县,保山市,云南省,530521,32.3,29.9,2.4,,
2000,20407568,腾冲县,保山市,云南省,530522,59.4,54.5,4.9,,
2000,20407569,龙陵县,保山市,云南省,530523,26.5,24.3,2.2,,
2000,20407570,昌宁县,保山市,云南省,530524,33.3,30.6,2.7,,
2000,20407104,瑞丽市,德宏傣族景颇族自治州,云南省,533102,11,7,4,,
2000,20407105,潞西市,德宏傣族景颇族自治州,云南省,533103,32.9,25.9,7,,
2000,20407098,梁河县,德宏傣族景颇族自治州,云南省,533122,15.6,14,1.6,,
2000,20407099,盈江县,德宏傣族景颇族自治州,云南省,533123,25.8,22.6,3.2,,
2000,20407173,陇川县,德宏傣族景颇族自治州,云南省,533124,16.5,13.4,3.1,,
2000,20407588,永胜县,丽江地区,云南省,533222,37.7,35.2,2.5,,
2000,20406729,华坪县,丽江地区,云南省,533223,14.8,12.8,2,,
2000,20406730,宁蒗彝族自治县,丽江地区,云南省,533224,22.7,20.7,2,,
2000,20407175,泸水县,怒江傈僳族自治州,云南省,533321,15.3,12.2,3.1,,
2000,20407176,福贡县,怒江傈僳族自治州,云南省,533323,8.9,8,0.9,,
2000,20407177,贡山独龙族怒族自治县,怒江傈僳族自治州,云南省,533324,3.4,2.9,0.5,,
2000,20407178,兰坪白族普米族自治县,怒江傈僳族自治州,云南省,533325,18.7,16.4,2.3,,
2000,20407180,中甸县,迪庆藏族自治州,云南省,533421,13,10.6,2.4,,
2000,20407181,德钦县,迪庆藏族自治州,云南省,533422,5.8,5.2,0.6,,
2000,20407182,维西傈僳族自治县,迪庆藏族自治州,云南省,533423,14.3,13.2,1.1,,
2000,20406745,临沧县,临沧地区,云南省,533521,27.3,22.4,4.9,,
2000,20406746,凤庆县,临沧地区,云南省,533522,42.1,39.4,2.7,,
2000,20406747,云县,临沧地区,云南省,533523,39.9,37.3,2.6,,
2000,20406748,永德县,临沧地区,云南省,533524,32.1,29.8,2.3,,
2000,20406749,镇康县,临沧地区,云南省,533525,15.5,14.4,1.1,,
2000,20406750,双江拉祜族佤族布朗族傣族自治县,临沧地区,云南省,533526,16.2,14.8,1.4,,
2000,20406751,耿马傣族佤族自治县,临沧地区,云南省,533527,24.9,22.5,2.4,,
2000,20406752,沧源佤族自治县,临沧地区,云南省,533528,15.8,13.8,2,,
2000,20406570,万州区,重庆市,重庆市,500101,167.28,127.66,39.62,,
2000,20406571,涪陵区,重庆市,重庆市,500102,110.75,84.95,25.8,,
2000,20406572,渝中区,重庆市,重庆市,500103,58.23,0.35,57.88,,
2000,20406573,大渡口区,重庆市,重庆市,500104,20.28,6.04,14.24,,
2000,20406574,江北区,重庆市,重庆市,500105,46.04,10.23,35.81,,
2000,20406575,沙坪坝区,重庆市,重庆市,500106,66.45,21.79,44.66,,
2000,20406576,九龙坡区,重庆市,重庆市,500107,71.21,25.12,46.09,,
2000,20406953,南岸区,重庆市,重庆市,500108,46.29,13.67,32.62,,
2000,20406954,北碚区,重庆市,重庆市,500109,63.17,38.14,25.03,,
2000,20407903,万盛区,重庆市,重庆市,500110,26.93,16.14,10.79,,
2000,20407902,双桥区,重庆市,重庆市,500111,4.45,2.49,1.96,,
2000,20406957,渝北区,重庆市,重庆市,500112,80.26,61.93,18.33,,
2000,20406958,巴南区,重庆市,重庆市,500113,86.12,63.4,22.72,,
2000,20406959,黔江区,重庆市,重庆市,500114,49.02,42.92,6.1,,
2000,20406960,长寿县,重庆市,重庆市,500221,88.03,72.07,15.96,,
2000,20407904,綦江县,重庆市,重庆市,500222,94.89,75.87,19.02,,
2000,20406966,潼南县,重庆市,重庆市,500223,90.71,82.25,8.46,,
2000,20406967,铜梁县,重庆市,重庆市,500224,80.52,70.39,10.13,,
2000,20406956,大足县,重庆市,重庆市,500225,91.89,81.72,10.17,,
2000,20406968,荣昌县,重庆市,重庆市,500226,80.64,66.29,14.35,,
2000,20406969,璧山县,重庆市,重庆市,500227,60.54,50.55,9.99,,
2000,20406970,梁平县,重庆市,重庆市,500228,88,79.05,8.95,,
2000,20406971,城口县,重庆市,重庆市,500229,21.53,19.19,2.34,,
2000,20406972,丰都县,重庆市,重庆市,500230,77.17,67.79,9.38,,
2000,20406973,垫江县,重庆市,重庆市,500231,87.84,77.95,9.89,,
2000,20406974,武隆县,重庆市,重庆市,500232,39.53,34.79,4.74,,
2000,20406975,忠县,重庆市,重庆市,500233,98.06,87,11.06,,
2000,20406976,开县,重庆市,重庆市,500234,150.05,136.21,13.84,,
2000,20406977,云阳县,重庆市,重庆市,500235,127.07,115.35,11.72,,
2000,20407051,奉节县,重庆市,重庆市,500236,99.07,91.2,7.87,,
2000,20407052,巫山县,重庆市,重庆市,500237,59.13,54.08,5.05,,
2000,20407053,巫溪县,重庆市,重庆市,500238,50.65,46.45,4.2,,
2000,20407054,石柱土家族自治县,重庆市,重庆市,500240,51.08,45.04,6.04,,
2000,20407055,秀山土家族苗族自治县,重庆市,重庆市,500241,59.05,54.18,4.87,,
2000,20407056,酉阳土家族苗族自治县,重庆市,重庆市,500242,72.46,65.69,6.77,,
2000,20407057,彭水苗族土家族自治县,重庆市,重庆市,500243,61.84,56.53,5.31,,
2000,20406961,江津市,重庆市,重庆市,500381,145.5,119.56,25.94,,
2000,20406962,合川市,重庆市,重庆市,500382,151.18,127.25,23.93,,
2000,20406963,永川市,重庆市,重庆市,500383,103.91,83.34,20.57,,
2000,20406964,南川市,重庆市,重庆市,500384,64.27,55.59,8.68,,
2000,20405246,建德市,杭州市,浙江省,330182,51.3,40.99,10.31,,
2000,20405247,富阳市,杭州市,浙江省,330183,62.03,51.91,10.12,,
2000,20405243,余杭市,杭州市,浙江省,330184,79.18,62.37,16.81,,
2000,20405248,临安市,杭州市,浙江省,330185,51.21,42.93,8.28,,
2000,20405244,桐庐县,杭州市,浙江省,330122,39.56,31.42,8.14,,
2000,20405245,淳安县,杭州市,浙江省,330127,44.92,39.35,5.57,,
2000,20405126,余姚市,宁波市,浙江省,330281,82.96,68.22,14.74,,
2000,20405127,慈溪市,宁波市,浙江省,330282,101.09,86.66,14.43,,
2000,20405128,奉化市,宁波市,浙江省,330283,49.07,40.52,8.55,,
2000,20405357,象山县,宁波市,浙江省,330225,53.24,43.74,9.5,,
2000,20405358,宁海县,宁波市,浙江省,330226,58.36,51.95,6.41,,
2000,20405256,鄞县,宁波市,浙江省,330227,72.16,60.99,11.17,,
2000,20405140,瑞安市,温州市,浙江省,330381,120.06,102.39,17.67,,
2000,20405141,乐清市,温州市,浙江省,330382,115.49,104.72,10.77,,
2000,20405134,洞头县,温州市,浙江省,330322,12.6,11.18,1.42,,
2000,20405135,永嘉县,温州市,浙江省,330324,90.26,83.16,7.1,,
2000,20405136,平阳县,温州市,浙江省,330326,84.03,70.95,13.08,,
2000,20405137,苍南县,温州市,浙江省,330327,122.21,100.21,22,,
2000,20405138,文成县,温州市,浙江省,330328,37.24,34.67,2.57,,
2000,20405139,泰顺县,温州市,浙江省,330329,35.2,32.78,2.42,,
2000,20405148,海宁市,嘉兴市,浙江省,330481,64.03,51.08,12.95,,
2000,20405149,平湖市,嘉兴市,浙江省,330482,48.23,38.59,9.64,,
2000,20405150,桐乡市,嘉兴市,浙江省,330483,65.57,54.09,11.48,,
2000,20405147,海盐县,嘉兴市,浙江省,330424,36.49,28.91,7.58,,
2000,20405146,嘉善县,嘉兴市,浙江省,330421,38.13,29.66,8.47,,
2000,20405155,德清县,湖州市,浙江省,330521,42.4,31.35,11.05,,
2000,20405156,长兴县,湖州市,浙江省,330522,61.84,45.37,16.47,,
2000,20405157,安吉县,湖州市,浙江省,330523,44.75,38.18,6.57,,
2000,20405163,诸暨市,绍兴市,浙江省,330681,106.18,93.1,13.08,,
2000,20405165,嵊州市,绍兴市,浙江省,330683,73.99,65.04,8.95,,
2000,20405161,绍兴县,绍兴市,浙江省,330621,72.42,62.33,10.09,,
2000,20405162,新昌县,绍兴市,浙江省,330624,43.47,36.98,6.49,,
2000,20405173,兰溪市,金华市,浙江省,330781,65.95,54.9,11.05,,
2000,20405175,东阳市,金华市,浙江省,330783,78.79,69.52,9.27,,
2000,20405174,义乌市,金华市,浙江省,330782,66.84,53.48,13.36,,
2000,20405176,永康市,金华市,浙江省,330784,53.06,46.64,6.42,,
2000,20405170,武义县,金华市,浙江省,330723,32.79,28.24,4.55,,
2000,20405171,浦江县,金华市,浙江省,330726,37.9,33.26,4.64,,
2000,20405172,磐安县,金华市,浙江省,330727,20.54,18.6,1.94,,
2000,20405184,江山市,衢州市,浙江省,330881,56.61,49.33,7.28,,
2000,20405180,衢县,衢州市,浙江省,330821,52.27,50.1,2.17,,
2000,20405181,常山县,衢州市,浙江省,330822,31.96,27.98,3.98,,
2000,20405182,开化县,衢州市,浙江省,330824,34.06,30.12,3.94,,
2000,20405183,龙游县,衢州市,浙江省,330825,40.4,34.56,5.84,,
2000,20405189,岱山县,舟山市,浙江省,330921,21.1,17,4.1,,
