SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,TotalImpExp,Import,Export
2000,20404220,康平县,沈阳市,辽宁省,210123,,,
2000,20404221,法库县,沈阳市,辽宁省,210124,,,
2000,20404820,长海县,大连市,辽宁省,210224,,,
2000,20404830,台安县,鞍山市,辽宁省,210321,,,
2000,20404831,岫岩满族自治县,鞍山市,辽宁省,210323,,,
2000,20404640,抚顺县,抚顺市,辽宁省,210421,,,
2000,20404641,新宾满族自治县,抚顺市,辽宁省,210422,,,
2000,20404642,清原满族自治县,抚顺市,辽宁省,210423,,,
2000,20404649,本溪满族自治县,本溪市,辽宁省,210521,,,
2000,20404656,宽甸满族自治县,丹东市,辽宁省,210624,,,
2000,20404665,义县,锦州市,辽宁省,210727,,,
2000,20404664,黑山县,锦州市,辽宁省,210726,,,
2000,20404683,阜新蒙古族自治县,阜新市,辽宁省,210921,,,
2000,20404684,彰武县,阜新市,辽宁省,210922,,,
2000,20404692,辽阳县,辽阳市,辽宁省,211021,,,
2000,20404699,盘山县,盘锦市,辽宁省,211122,,,
2000,20404698,大洼县,盘锦市,辽宁省,211121,,,
2000,20404704,铁岭县,铁岭市,辽宁省,211221,,,
2000,20404705,西丰县,铁岭市,辽宁省,211223,,,
2000,20404706,昌图县,铁岭市,辽宁省,211224,,,
2000,20404837,朝阳县,朝阳市,辽宁省,211321,,,
2000,20404838,建平县,朝阳市,辽宁省,211322,,,
2000,20404839,喀喇沁左翼蒙古族自治县,朝阳市,辽宁省,211324,,,
2000,20404847,绥中县,葫芦岛市,辽宁省,211421,,,
2000,20404848,建昌县,葫芦岛市,辽宁省,211422,,,
2001,20404219,辽中县,沈阳市,辽宁省,210122,,,
2001,20404221,法库县,沈阳市,辽宁省,210124,,,
2001,20404820,长海县,大连市,辽宁省,210224,,,
2001,20404830,台安县,鞍山市,辽宁省,210321,,,
2001,20404831,岫岩满族自治县,鞍山市,辽宁省,210323,,,
2001,20404640,抚顺县,抚顺市,辽宁省,210421,,,
2001,20404641,新宾满族自治县,抚顺市,辽宁省,210422,,,
2001,20404642,清原满族自治县,抚顺市,辽宁省,210423,,,
2001,20404650,桓仁满族自治县,本溪市,辽宁省,210522,,,
2001,20404656,宽甸满族自治县,丹东市,辽宁省,210624,,,
2001,20404665,义县,锦州市,辽宁省,210727,,,
2001,20404664,黑山县,锦州市,辽宁省,210726,,,
2001,20404683,阜新蒙古族自治县,阜新市,辽宁省,210921,,,
2001,20404692,辽阳县,辽阳市,辽宁省,211021,,,
2001,20404699,盘山县,盘锦市,辽宁省,211122,,,
2001,20404698,大洼县,盘锦市,辽宁省,211121,,,
2001,20404704,铁岭县,铁岭市,辽宁省,211221,,,
2001,20404706,昌图县,铁岭市,辽宁省,211224,,,
2001,20404837,朝阳县,朝阳市,辽宁省,211321,,,
2001,20404838,建平县,朝阳市,辽宁省,211322,,,
2001,20404847,绥中县,葫芦岛市,辽宁省,211421,,,
2001,20404848,建昌县,葫芦岛市,辽宁省,211422,,,
2001,20405581,历下区,济南市,山东省,370102,,,0.22
2001,20405382,市中区,济南市,山东省,370103,,,3.97
2001,20405383,槐荫区,济南市,山东省,370104,,,0.13
2001,20405384,天桥区,济南市,山东省,370105,,,0.14
2001,20405385,历城区,济南市,山东省,370112,,,0.4
2001,20405386,长清区,济南市,山东省,370113,,,0.2
2001,20405387,平阴县,济南市,山东省,370124,,,0.55
2001,20405388,济阳县,济南市,山东省,370125,,,0.06
2001,20405389,商河县,济南市,山东省,370126,,,0.04
2001,20405390,章丘市,济南市,山东省,370181,,,0.23
2001,20405393,市南区,青岛市,山东省,370202,,,0.72
2001,20405749,市北区,青岛市,山东省,370203,,,0.79
2001,20405750,四方区,青岛市,山东省,370205,,,0.37
2001,20405751,黄岛区,青岛市,山东省,370211,,,7.34
2001,20405752,崂山区,青岛市,山东省,370212,,,7
2001,20405753,李沧区,青岛市,山东省,370213,,,3
2001,20405754,城阳区,青岛市,山东省,370214,,,13.21
2001,20405755,胶州市,青岛市,山东省,370281,,,7.54
2001,20405756,即墨市,青岛市,山东省,370282,,,4.59
2001,20405632,平度市,青岛市,山东省,370283,,,1.44
2001,20405633,胶南市,青岛市,山东省,370284,,,4.05
2001,20405634,莱西市,青岛市,山东省,370285,,,4.88
2001,20405637,淄川区,淄博市,山东省,370302,,,0.89
2001,20405638,张店区,淄博市,山东省,370303,,,2.71
2001,20405639,博山区,淄博市,山东省,370304,,,0.62
2001,20405640,临淄区,淄博市,山东省,370305,,,0.48
2001,20405641,周村区,淄博市,山东省,370306,,,0.6
2001,20405642,桓台县,淄博市,山东省,370321,,,0.34
2001,20405643,高青县,淄博市,山东省,370322,,,0.09
2001,20405644,沂源县,淄博市,山东省,370323,,,0.1
2001,20405647,市中区,枣庄市,山东省,370402,,,0.67
2001,20405648,薛城区,枣庄市,山东省,370403,,,0.14
2001,20405649,峄城区,枣庄市,山东省,370404,,,0.13
2001,20405650,台儿庄区,枣庄市,山东省,370405,,,0.01
2001,20405880,山亭区,枣庄市,山东省,370406,,,0.01
2001,20405881,滕州市,枣庄市,山东省,370481,,,0.22
2001,20405884,东营区,东营市,山东省,370502,,,0.98
2001,20405885,河口区,东营市,山东省,370503,,,0.04
2001,20405886,垦利县,东营市,山东省,370521,,,0.02
2001,20405887,利津县,东营市,山东省,370522,,,0.12
2001,20405888,广饶县,东营市,山东省,370523,,,0.67
2001,20405891,芝罘区,烟台市,山东省,370602,,,7.73
2001,20405892,福山区,烟台市,山东省,370611,,,2.59
2001,20405893,牟平区,烟台市,山东省,370612,,,1.86
2001,20405894,莱山区,烟台市,山东省,370613,,,1.11
2001,20405895,长岛县,烟台市,山东省,370634,,,0.22
2001,20405896,龙口市,烟台市,山东省,370681,,,1.36
2001,20405897,莱阳市,烟台市,山东省,370682,,,2.28
2001,20405898,莱州市,烟台市,山东省,370683,,,1.28
2001,20405899,蓬莱市,烟台市,山东省,370684,,,0.82
2001,20405900,招远市,烟台市,山东省,370685,,,1.3
2001,20405901,栖霞市,烟台市,山东省,370686,,,0.47
2001,20405902,海阳市,烟台市,山东省,370687,,,0.54
2001,20405905,潍城区,潍坊市,山东省,370702,,,0.23
2001,20405651,寒亭区,潍坊市,山东省,370703,,,0.12
2001,20405652,坊子区,潍坊市,山东省,370704,,,0.26
2001,20405653,奎文区,潍坊市,山东省,370705,,,3.29
2001,20405654,临朐县,潍坊市,山东省,370724,,,0.38
2001,20405655,昌乐县,潍坊市,山东省,370725,,,0.62
2001,20405656,青州市,潍坊市,山东省,370781,,,0.43
2001,20405657,诸城市,潍坊市,山东省,370782,,,2.43
2001,20405658,寿光市,潍坊市,山东省,370783,,,1.01
2001,20405659,安丘市,潍坊市,山东省,370784,,,0.74
2001,20405660,高密市,潍坊市,山东省,370785,,,1.53
2001,20405661,昌邑市,潍坊市,山东省,370786,,,0.29
2001,20405665,任城区,济宁市,山东省,370811,,,0.25
2001,20405666,微山县,济宁市,山东省,370826,,,0.04
2001,20405668,金乡县,济宁市,山东省,370828,,,0.25
2001,20405669,嘉祥县,济宁市,山东省,370829,,,0.06
2001,20405670,汶上县,济宁市,山东省,370830,,,0.13
2001,20405671,泗水县,济宁市,山东省,370831,,,0.36
2001,20405672,梁山县,济宁市,山东省,370832,,,0.06
2001,20405673,曲阜市,济宁市,山东省,370881,,,0.12
2001,20405674,兖州市,济宁市,山东省,370882,,,0.09
2001,20405675,邹城市,济宁市,山东省,370883,,,3.89
2001,20405678,泰山区,泰安市,山东省,370902,,,0.94
2001,20405679,岱岳区,泰安市,山东省,370911,,,0.11
2001,20405680,宁阳县,泰安市,山东省,370921,,,0.12
2001,20405681,东平县,泰安市,山东省,370923,,,0.05
2001,20405682,新泰市,泰安市,山东省,370982,,,0.11
2001,20405683,肥城市,泰安市,山东省,370983,,,0.43
2001,20405686,环翠区,威海市,山东省,371002,,,9.62
2001,20405687,文登市,威海市,山东省,371081,,,2.31
2001,20405688,荣成市,威海市,山东省,371082,,,2.6
2001,20405689,乳山市,威海市,山东省,371083,,,1.54
2001,20405692,东港区,日照市,山东省,371102,,,2.04
2001,20405694,五莲县,日照市,山东省,371121,,,0.17
2001,20405695,莒县,日照市,山东省,371122,,,0.12
2001,20405698,莱城区,莱芜市,山东省,371202,,,1.32
2001,20405699,钢城区,莱芜市,山东省,371203,,,0.22
