Sgnyea,Prvcnm_id,Prvcnm,Ifa0101,Ifa0102,Ifa0104
2001,640000,宁夏回族自治区,191.08,,
2001,630000,青海省,196.35,,
2001,460000,海南省,213.32,,
2001,620000,甘肃省,460.37,,
2001,150000,内蒙古自治区,503.63,,
2001,520000,贵州省,536.01,,
2001,360000,江西省,631.84,,
2001,450000,广西壮族自治区,655.63,,
2001,140000,山西省,663.58,,
2001,500000,重庆市,697.03,,
2001,220000,吉林省,701.7,,
2001,120000,天津市,705,,
2001,650000,新疆维吾尔自治区,706,,
2001,530000,云南省,738.45,,
2001,610000,陕西省,773.43,,
2001,340000,安徽省,893.37,,
2001,230000,黑龙江省,963.58,,
2001,350000,福建省,1172.91,,
2001,430000,湖南省,1174.3,,
2001,210000,辽宁省,1421.19,,
2001,420000,湖北省,1486.55,,
2001,110000,北京市,1513.32,,
2001,410000,河南省,1544.06,,
2001,510000,四川省,1617.52,,
2001,130000,河北省,1912.53,,
2001,310000,上海市,2004.64,,
2001,370000,山东省,2788.68,,
2001,320000,江苏省,2823.2,,
2001,330000,浙江省,2834.94,,
2001,440000,广东省,3484.43,,
2001,142,中国,37213.5,30001.2,7212.3
2002,540000,西藏自治区,106.58,,
2002,460000,海南省,225.41,,
2002,640000,宁夏回族自治区,226.98,,
2002,630000,青海省,232.35,,
2002,620000,甘肃省,526.21,,
2002,520000,贵州省,632.97,,
2002,150000,内蒙古自治区,707.91,,
2002,450000,广西壮族自治区,750.33,,
2002,650000,新疆维吾尔自治区,800.09,,
2002,120000,天津市,807.51,,
2002,140000,山西省,813.36,,
2002,530000,云南省,814.61,,
2002,220000,吉林省,834.23,,
2002,360000,江西省,889.04,,
2002,500000,重庆市,899.26,,
2002,610000,陕西省,915.35,,
2002,230000,黑龙江省,1046.17,,
2002,340000,安徽省,1074.46,,
2002,350000,福建省,1253.08,,
2002,430000,湖南省,1347.96,,
2002,420000,湖北省,1605.06,,
2002,210000,辽宁省,1605.55,,
2002,410000,河南省,1725.93,,
2002,110000,北京市,1796.14,,
2002,510000,四川省,1902.72,,
2002,130000,河北省,2020.38,,
2002,310000,上海市,2213.72,,
2002,320000,江苏省,3450.12,,
2002,330000,浙江省,3477.47,,
