Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Eect01,Eect02,Eect04
1992,汕尾市,441500,地级市,440000,广东省,234.97,51.67,446
1992,河源市,441600,地级市,440000,广东省,283.29,44.77,179
1992,阳江市,441700,地级市,440000,广东省,231.99,47.92,297
1992,清远市,441800,地级市,440000,广东省,347.76,57.89,183
1992,东莞市,441900,地级市,440000,广东省,136.06,32.71,552
1992,中山市,442000,地级市,440000,广东省,119.25,30.99,709
1992,潮州市,445100,地级市,440000,广东省,223.28,50.49,725
1992,揭阳市,445200,地级市,440000,广东省,456.49,64.13,871
1992,南宁市,450100,地级市,450000,广西壮族自治区,259.4,91.8,259
1992,柳州市,450200,地级市,450000,广西壮族自治区,162.9,75.6,308
1992,桂林市,450300,地级市,450000,广西壮族自治区,337.3,36,297
1992,梧州市,450400,地级市,450000,广西壮族自治区,355.6,39,193
1992,北海市,450500,地级市,450000,广西壮族自治区,127.8,28.9,383
1992,钦州市,450700,地级市,450000,广西壮族自治区,362.4,37,229
1992,贵港市,450800,地级市,450000,广西壮族自治区,,,423
1992,玉林市,450900,地级市,450000,广西壮族自治区,921.6,74.8,523
1992,百色市,451000,地级市,450000,广西壮族自治区,349.8,34.9,81
1992,河池市,451200,地级市,450000,广西壮族自治区,362.8,45.2,124
1992,海口市,460100,地级市,460000,海南省,40.58,31.61,1861
1992,三亚市,460200,地级市,460000,海南省,38.02,11.92,201
1992,重庆市,500000,直辖市,500000,重庆市,2950.78,511.84,648
1992,成都市,510100,副省级市,510000,四川省,936.9,266.7,756
1992,自贡市,510300,地级市,510000,四川省,302.1,59.8,691
1992,攀枝花市,510400,地级市,510000,四川省,92.6,46.7,125
1992,泸州市,510500,地级市,510000,四川省,443.1,58.1,362
1992,德阳市,510600,地级市,510000,四川省,361.6,51.8,607
1992,绵阳市,510700,地级市,510000,四川省,496.4,72.9,245
1992,广元市,510800,地级市,510000,四川省,290.2,39,178
1992,遂宁市,510900,地级市,510000,四川省,352.2,33.5,665
1992,内江市,511000,地级市,510000,四川省,889,99.7,666
1992,乐山市,511100,地级市,510000,四川省,658.9,95.8,329
1992,南充市,511300,地级市,510000,四川省,,,2538
1992,宜宾市,511500,地级市,510000,四川省,476.4,69.5,619
1992,雅安市,511800,地级市,510000,四川省,143.4,23.1,285
1992,贵阳市,520100,地级市,520000,贵州省,158.6,106.45,659
1992,六盘水市,520200,地级市,520000,贵州省,250.3,38.82,252
1992,遵义市,520300,地级市,520000,贵州省,627.57,68.63,1278
1992,安顺市,520400,地级市,520000,贵州省,354,47.61,400
1992,昆明市,530100,地级市,530000,云南省,362.7,145.3,233
1992,曲靖市,530300,地级市,530000,云南省,538.2,49.2,202
1992,玉溪市,530400,地级市,530000,云南省,185.2,22.2,331
1992,保山市,530500,地级市,530000,云南省,216.6,15.6,151
1992,昭通市,530600,地级市,530000,云南省,440.4,27.7,298
1992,拉萨市,540100,地级市,540000,西藏自治区,36.658,12.74,13
1992,西安市,610100,副省级市,610000,陕西省,623.1978,236.4545,624
1992,铜川市,610200,地级市,610000,陕西省,78.5402,34.4656,202
1992,宝鸡市,610300,地级市,610000,陕西省,337.5091,66.0786,186
1992,咸阳市,610400,地级市,610000,陕西省,445.3401,71.4875,436
1992,渭南市,610500,地级市,610000,陕西省,493.2458,69.6391,649
1992,延安市,610600,地级市,610000,陕西省,183.4749,31.4911,88
1992,汉中市,610700,地级市,610000,陕西省,361.1362,56.1971,827
1992,榆林市,610800,地级市,610000,陕西省,298.4462,30.3538,53
1992,安康市,610900,地级市,610000,陕西省,286.8859,30.5489,244
1992,兰州市,620100,地级市,620000,甘肃省,258.3824,132.1959,187
1992,嘉峪关市,620200,地级市,620000,甘肃省,300.4092,36.5899,84
1992,金昌市,620300,地级市,620000,甘肃省,149.8233,28.0857,41
1992,白银市,620400,地级市,620000,甘肃省,39.2379,15.465,71
1992,天水市,620500,地级市,620000,甘肃省,10.9326,8.6163,210
1992,武威市,620600,地级市,620000,甘肃省,245.096,17.5289,176
1992,张掖市,620700,地级市,620000,甘肃省,196.8357,20.5167,103
1992,平凉市,620800,地级市,620000,甘肃省,116.666,14.9879,205
1992,酒泉市,620900,地级市,620000,甘肃省,223.8153,20.5591,89
1992,西宁市,630100,地级市,630000,青海省,,,304
1992,银川市,640100,地级市,640000,宁夏回族自治区,,,241
1992,石嘴山市,640200,地级市,640000,宁夏回族自治区,,,140
1992,吴忠市,640300,地级市,640000,宁夏回族自治区,,,243
1992,乌鲁木齐市,650100,地级市,650000,新疆维吾尔自治区,136.6462,111.2271,119
1992,克拉玛依市,650200,地级市,650000,新疆维吾尔自治区,21.5149,20.6343,23
1992,呼伦贝尔市,150700,地级市,150000,内蒙古自治区,262.9152,,
1992,葫芦岛市,211400,地级市,210000,辽宁省,255.7,62.1,
1992,淮安市,320800,地级市,320000,江苏省,,,
1992,泰州市,321200,地级市,320000,江苏省,,,
1992,宿迁市,321300,地级市,320000,江苏省,,,
1992,荆州市,421000,地级市,420000,湖北省,1124.05,205.15,
1992,黄冈市,421100,地级市,420000,湖北省,673.35,77.97,
1992,张家界市,430800,地级市,430000,湖南省,150.1,16.05,
1992,云浮市,445300,地级市,440000,广东省,,,
1992,巢湖市,341400,地级市,340000,安徽省,427.3082,45.108,381
1992,毕节市,520500,地级市,520000,贵州省,608.31,36.23,
1992,铜仁市,520600,地级市,520000,贵州省,332.31,26.46,
1992,黔西南布依族苗族自治州,522300,地级市,520000,贵州省,259.19,18.74,
1992,黔东南苗族侗族自治州,522600,地级市,520000,贵州省,375.72,32.82,
1992,黔南布依族苗族自治州,522700,地级市,520000,贵州省,334.97,37.26,
1992,东川区,530113,地级市,530000,云南省,28.5,6.4,
1992,丽江市,530700,地级市,530000,云南省,103.3,10.3,
1992,普洱市,530800,地级市,530000,云南省,223.3,20.9,
1992,临沧市,530900,地级市,530000,云南省,202.7,13.8,
1992,楚雄彝族自治州,532300,地级市,530000,云南省,236.9,25.8,
1992,红河哈尼族彝族自治州,532500,地级市,530000,云南省,371.3,57.6,
1992,文山壮族苗族自治州,532600,地级市,530000,云南省,301,18.9,
