county,countyCode,year,hviirs,city,cityCode,province,provinceCode
昭阳区,530602,2013,23466.01176,昭通市,530600,云南省,530000
禄劝彝族苗族自治县,530128,2013,20523.56863,昆明市,530100,云南省,530000
石林彝族自治县,530126,2013,14897.61569,昆明市,530100,云南省,530000
寻甸回族彝族自治县,530129,2013,26239.66667,昆明市,530100,云南省,530000
宁蒗彝族自治县,530724,2013,17669.76863,丽江市,530700,云南省,530000
玉龙纳西族自治县,530721,2013,22302.52157,丽江市,530700,云南省,530000
沧源佤族自治县,530927,2013,8228.803922,临沧市,530900,云南省,530000
耿马傣族佤族自治县,530926,2013,16182.29412,临沧市,530900,云南省,530000
双江拉祜族佤族布朗族傣族自治县,530925,2013,7082.541176,临沧市,530900,云南省,530000
江城哈尼族彝族自治县,530826,2013,7584.666667,普洱市,530800,云南省,530000
景东彝族自治县,530823,2013,9953.807843,普洱市,530800,云南省,530000
景谷傣族彝族自治县,530824,2013,14814.21176,普洱市,530800,云南省,530000
澜沧拉祜族自治县,530828,2013,18431.08627,普洱市,530800,云南省,530000
孟连傣族拉祜族佤族自治县,530827,2013,5898.392157,普洱市,530800,云南省,530000
墨江哈尼族自治县,530822,2013,10438.18039,普洱市,530800,云南省,530000
宁洱哈尼族彝族自治县,530821,2013,10524.43137,普洱市,530800,云南省,530000
西盟佤族自治县,530829,2013,4214.811765,普洱市,530800,云南省,530000
镇沅彝族哈尼族拉祜族自治县,530825,2013,5441.141176,普洱市,530800,云南省,530000
峨山彝族自治县,530426,2013,13106.95686,玉溪市,530400,云南省,530000
新平彝族傣族自治县,530427,2013,19964.72941,玉溪市,530400,云南省,530000
元江哈尼族彝族傣族自治县,530428,2013,18317.53725,玉溪市,530400,云南省,530000
通榆县,220822,2013,27016.11765,白城市,220800,吉林省,220000
镇赉县,220821,2013,13110.67451,白城市,220800,吉林省,220000
抚松县,220621,2013,25574.62745,白山市,220600,吉林省,220000
靖宇县,220622,2013,18073.86275,白山市,220600,吉林省,220000
永吉县,220221,2013,27707.88235,吉林市,220200,吉林省,220000
东丰县,220421,2013,27367.10588,辽源市,220400,吉林省,220000
东辽县,220422,2013,23686.12549,辽源市,220400,吉林省,220000
梨树县,220322,2013,40997.81961,四平市,220300,吉林省,220000
乾安县,220723,2013,34561.32549,松原市,220700,吉林省,220000
长岭县,220722,2013,52054.33333,松原市,220700,吉林省,220000
辉南县,220523,2013,20727.31765,通化市,220500,吉林省,220000
柳河县,220524,2013,28978.93725,通化市,220500,吉林省,220000
通化县,220521,2013,25492.21961,通化市,220500,吉林省,220000
农安县,220122,2013,64369.06667,长春市,220100,吉林省,220000
大安市,220882,2013,14681.95686,白城市,220800,吉林省,220000
洮南市,220881,2013,5745.305882,白城市,220800,吉林省,220000
临江市,220681,2013,9827.65098,白山市,220600,吉林省,220000
桦甸市,220282,2013,45798.81176,吉林市,220200,吉林省,220000
蛟河市,220281,2013,46131.00784,吉林市,220200,吉林省,220000
磐石市,220284,2013,42524.28235,吉林市,220200,吉林省,220000
舒兰市,220283,2013,43620.14118,吉林市,220200,吉林省,220000
双辽市,220382,2013,31109.75686,四平市,220300,吉林省,220000
扶余市,220781,2013,33337.88235,松原市,220700,吉林省,220000
集安市,220582,2013,15378.39216,通化市,220500,吉林省,220000
梅河口市,220581,2013,27614.80392,通化市,220500,吉林省,220000
德惠市,220183,2013,38431.01569,长春市,220100,吉林省,220000
公主岭市,220184,2013,57467.21569,长春市,220100,吉林省,220000
榆树市,220182,2013,51626.45882,长春市,220100,吉林省,220000
洮北区,220802,2013,11446.82745,白城市,220800,吉林省,220000
浑江区,220602,2013,15626.97255,白山市,220600,吉林省,220000
江源区,220605,2013,14042.18824,白山市,220600,吉林省,220000
昌邑区,220202,2013,18217.63137,吉林市,220200,吉林省,220000
船营区,220204,2013,14697.48235,吉林市,220200,吉林省,220000
丰满区,220211,2013,19885.46275,吉林市,220200,吉林省,220000
龙潭区,220203,2013,26807.62745,吉林市,220200,吉林省,220000
龙山区,220402,2013,8834.737255,辽源市,220400,吉林省,220000
西安区,220403,2013,3789.25098,辽源市,220400,吉林省,220000
铁东区,220303,2013,16287.62745,四平市,220300,吉林省,220000
宁江区,220702,2013,21473.32157,松原市,220700,吉林省,220000
东昌区,220502,2013,8166.803922,通化市,220500,吉林省,220000
二道江区,220503,2013,6419.839216,通化市,220500,吉林省,220000
朝阳区,220104,2013,14533.55294,长春市,220100,吉林省,220000
二道区,220105,2013,18366.26667,长春市,220100,吉林省,220000
九台区,220113,2013,54441.81961,长春市,220100,吉林省,220000
宽城区,220103,2013,31345.2,长春市,220100,吉林省,220000
绿园区,220106,2013,23103.24706,长春市,220100,吉林省,220000
南关区,220102,2013,27496.81569,长春市,220100,吉林省,220000
双阳区,220112,2013,29192.61961,长春市,220100,吉林省,220000
铁西区,220302,2013,7105.87451,四平市,220300,吉林省,220000
长白朝鲜族自治县,220623,2013,7861.368627,白山市,220600,吉林省,220000
