id,county,perreggdp2000,perreggdp2001,perreggdp2002,perreggdp2003,perreggdp2004,perreggdp2005,perreggdp2006,perreggdp2007,perreggdp2008,perreggdp2009,perreggdp2010,perreggdp2011,perreggdp2012,perreggdp2013,perreggdp2014,perreggdp2015,perreggdp2016,perreggdp2017,perreggdp2018,perreggdp2019,perreggdp2020,perreggdp2021,perreggdp2022
150103,回民区,1.0599999,1.21,1.86,2.46,3.5,4.3499999,5.5500002,6.52,7.54,8.5900002,9.7799997,11.33,13.13,7.4200001,8.0200005,9.3100004,9.7600002,,,,,,
150104,玉泉区,.87,1.03,1.5700001,1.92,2.5999999,3.24,4.6799998,5.9400001,6.9099998,8.0699997,9.3299999,10.94,12.53,6.29,6.6900001,7.5100002,7.8699999,,,,,,
150105,赛罕区,.94999999,1.17,2.04,2.6199999,2.5799999,3.1400001,4.2399998,4.8699999,5.79,6.7399998,7.75,8.9700003,10.07,8.0500002,8.4099998,8.9499998,9.4399996,,,,,,
150121,土默特左旗,.61000001,.69,.77999997,.99000001,1.1900001,1.54,2.05,2.5599999,3.1800001,3.6600001,4.1599998,5.02,5.8600001,5.71,6.77,7.4400001,7.5799999,,,,,,
150122,托克托县,.67000002,.81999999,.91000003,1.1900001,2.1800001,3.25,4.2199998,5.6199999,6.3200002,7.2199998,8.3999996,10.04,11.44,11.57,11.42,11.69,11.91,,,,,,
150123,和林格尔县,.34999999,.51999998,.95999998,1.55,2.1199999,3.21,4.3400002,4.8699999,5.0799999,5.73,6.54,7.3000002,8.4700003,8.1199999,8.0900002,7.5500002,8.8900003,,,,,,
150124,清水河县,.50999999,.47999999,.56,.60000002,.74000001,.89999998,1.1900001,1.61,1.87,2.21,2.76,3.3599999,3.98,4.2800002,4.4699998,7.5900002,7.8099999,,,,,,
150125,武川县,.43000001,.44999999,.55000001,.70999998,.95999998,1.1,1.4,1.71,2.21,2.28,2.55,3.0999999,3.6800001,7.5599999,7.3299999,7.8600001,8.0799999,,,,,,
150202,东河区,.89999998,.97000003,1.12,1.48,1.9400001,2.28,2.8499999,3.8199999,4.8299999,5.8800001,,7.5300002,8.2799997,8.5299997,9.1000004,9.3999996,9.79,,,,,,
150203,昆都仑区,1.91,2.03,2.6900001,3.3900001,3.9100001,5.1199999,6.2600002,7.3000002,9.8500004,11.18,,11.71,12.7,13.12,13.85,14.11,14.54,,,,,,
150204,青山区,1.1900001,1.35,1.66,2.27,2.8099999,3.3800001,4.3299999,5.73,7.3200002,10.01,,13.85,15.61,15.34,16.58,17.08,17.83,,,,,,
150205,石拐区,.38,.38,.58999997,1.14,1.6900001,3.1300001,4.96,5.8099999,8.8999996,11.66,,21.32,26.719999,28.040001,28.15,26.76,27.09,,,,,,
150206,白云鄂博矿区,1.11,1.3,1.47,1.89,2.3800001,3.1600001,4.1399999,5.0300002,6.3800001,7.5500002,,9.9399996,11.92,12.94,13.52,14.63,14.88,,,,,,
150207,九原区,1.2,1.28,1.27,1.7,2.4100001,3.05,3.76,5.6500001,6.7600002,8.8699999,,12.08,14.11,15.04,15.41,15.47,15.72,,,,,,
