id,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,county,countycode,city,citycode,province,provincecode,location
36,8.9285326,9.0341005,9.0980091,9.3983545,9.6030531,9.661376,9.8659019,10.019784,10.139381,10.38534,10.500764,10.691221,10.746552,10.829358,10.860306,10.90577,10.960559,11.019009,11.077411,11.170522,11.259882,井陉矿区,130107,石家庄市,130100,河北省,130000,Eastern
37,9.2456665,9.3308525,9.4608593,9.6248026,9.8072872,9.9716835,10.154165,10.367845,10.418074,10.570924,10.814801,10.945827,10.980798,11.059796,11.111573,11.160631,11.215743,11.270365,11.342509,11.396572,11.488868,裕华区,130108,石家庄市,130100,河北省,130000,Eastern
38,8.883955,8.9433241,9.092639,9.2896128,9.4092274,9.5274916,9.7492495,9.9720163,10.08958,10.215246,10.464608,10.608684,10.691011,10.775783,10.82465,10.880924,10.957213,11.012806,11.096817,11.157584,11.249393,藁城区,130109,石家庄市,130100,河北省,130000,Eastern
39,8.964612,9.029932,9.126709,9.3289986,9.5268106,9.6378222,9.8467627,10.056569,10.17946,10.376246,10.570082,10.685222,10.735599,10.817316,10.856233,10.901451,10.9628,11.024232,11.094748,11.153944,11.244474,鹿泉区,130110,石家庄市,130100,河北省,130000,Eastern
40,8.9240484,8.9614697,9.0619173,9.333005,9.4882727,9.6375208,9.8283386,10.015472,10.177885,10.341405,10.543731,10.654735,10.734525,10.840501,10.881672,10.928393,10.996112,11.065141,11.146033,11.209335,11.30256,栾城区,130111,石家庄市,130100,河北省,130000,Eastern
41,8.651207,8.7046976,8.7852917,9.0583372,9.2003222,9.3135576,9.5509872,9.6860628,9.8809795,10.046062,10.256878,10.441413,10.51598,10.599351,10.627686,10.676374,10.736599,10.77836,10.852508,10.910805,11.015001,井陉县,130121,石家庄市,130100,河北省,130000,Eastern
42,8.9516792,9.0157709,9.0636892,9.3292713,9.5044565,9.5773621,9.8213902,10.011333,10.123985,10.29919,10.45973,10.631785,10.683663,10.781673,10.839724,10.896781,10.993073,11.081314,11.174334,11.205736,11.287812,正定县,130123,石家庄市,130100,河北省,130000,Eastern
43,8.7302408,8.8043909,8.8970633,9.0188484,9.1116762,9.2232475,9.419591,9.634655,9.8544378,10.062249,10.254349,10.329782,10.432875,10.514395,10.535822,10.603056,10.680815,10.729777,10.825739,10.871967,10.985252,行唐县,130125,石家庄市,130100,河北省,130000,Eastern
44,8.6356649,8.6967916,8.8520098,9.0370302,9.2354984,9.3700666,9.5557613,9.8166275,9.9166842,10.07868,10.260774,10.412395,10.439169,10.510325,10.514177,10.554936,10.656409,10.809334,10.906806,10.943563,11.044929,灵寿县,130126,石家庄市,130100,河北省,130000,Eastern
45,8.7803717,8.8606939,8.9564276,9.1355972,9.2756071,9.4407759,9.6167841,9.8112659,10.035738,10.144629,10.386038,10.507655,10.604519,10.665358,10.701542,10.739086,10.818922,10.883627,10.986405,11.065778,11.144636,高邑县,130127,石家庄市,130100,河北省,130000,Eastern
46,8.6830769,8.8349733,8.9521799,9.1197281,9.2818737,9.3827925,9.5925531,9.7501898,9.9304523,10.123516,10.36912,10.441124,10.511255,10.599429,10.618248,10.657724,10.740291,10.796939,10.850905,10.915943,11.042015,深泽县,130128,石家庄市,130100,河北省,130000,Eastern
47,8.5876389,8.6819019,8.8279095,9.0690327,9.2588282,9.3134804,9.4992695,9.7386112,9.8630505,10.024663,10.28566,10.441923,10.493478,10.553967,10.570395,10.622675,10.68885,10.719707,10.790473,10.852323,10.941423,赞皇县,130129,石家庄市,130100,河北省,130000,Eastern
48,8.6969652,8.8210278,9.0426111,9.2040911,9.362216,9.4760008,9.6932945,9.8569517,9.9958096,10.121518,10.347885,10.483851,10.540547,10.629344,10.652409,10.707452,10.806332,10.865083,10.937654,11.007805,11.114596,无极县,130130,石家庄市,130100,河北省,130000,Eastern
49,8.6560717,8.8355379,8.910203,9.1095037,9.2674246,9.3983765,9.6064014,9.7946911,9.9037094,10.078351,10.322945,10.473622,10.481161,10.536124,10.574404,10.619445,10.681712,10.720822,10.79602,10.845148,10.949631,平山县,130131,石家庄市,130100,河北省,130000,Eastern
50,8.7516928,8.8627062,8.9223433,9.1168194,9.2003479,9.3426809,9.569272,9.7891827,9.891263,10.08081,10.346915,10.46169,10.551303,10.62972,10.671976,10.700528,10.792129,10.866071,10.953926,11.030033,11.125131,元氏县,130132,石家庄市,130100,河北省,130000,Eastern
