id,reggdp2001,reggdp_primary2001,perreggdp2001,plnpgdp2001,plngdp2001,plngdppc2001,nonagri_share2001,urbanland2001,urbanland_share2001,cropland2001,cropland_share2001,popden2001,urbanization2001,reggdp2011,reggdp_primary2011,perreggdp2011,plnpgdp2011,plngdp2011,plngdppc2011,nonagri_share2011,urbanland2011,urbanland_share2011,cropland2011,cropland_share2011,popden2011,urbanization2011,reggdp2021,reggdp_primary2021,perreggdp2021,plnpgdp2021,plngdp2021,plngdppc2021,nonagri_share2021,urbanland2021,urbanland_share2021,cropland2021,cropland_share2021,popden2021,urbanization2021,county,countycode,city,citycode,province,provincecode,location
21,253962,100,.41633114,5.8776269,22.714306,9.8737326,99.999992,3.3842084,100,0,0,14.961907,100,2919800,,4.6213989,6.9034805,24.444881,11.306499,100,3.3842084,100,0,0,14.849669,100,4101776,,6.3583565,6.7619886,24.544235,11.943856,100,3.3842084,100,0,0,14.869383,100,河北区,120105,天津市,120000,天津市,120000,Eastern
22,259587,,.46529305,5.8776269,22.698341,9.8662281,99.999992,3.1139877,100,0,0,14.922901,100,1286800,,2.3900445,6.9034805,24.432701,11.307776,100,3.1139877,100,0,0,14.823083,100,1937586,,3.8096461,6.7619886,24.538729,11.960468,100,3.1139877,100,0,0,14.613514,100,红桥区,120106,天津市,120000,天津市,120000,Eastern
23,736047,25937,2.4061687,21.006248,22.901924,9.6297445,84.978317,5.8168654,70.600174,4.5146556,19.198318,11.184524,93.09182,6028100,38000,16.871258,22.079617,24.606464,11.191492,92.008949,5.8681788,74.317474,4.4844232,18.626598,11.479178,97.40242,7066007,41157,15.591366,22.115582,24.708673,11.858422,92.521156,5.9026208,76.9217,4.321075,15.819482,11.884985,95.937294,东丽区,120110,天津市,120000,天津市,120000,Eastern
24,828322,48200,2.7060502,21.027954,22.896427,9.5895109,84.564079,5.8273058,60.665966,4.7877116,21.451366,11.013762,88.569366,5955000,100200,16.270493,22.163734,24.593828,11.125911,91.197144,5.8601651,62.692505,4.8294845,22.366436,11.152723,93.752991,9324084,119309,19.522789,22.159685,24.704077,11.832007,92.147919,5.9024591,65.400902,4.7328515,20.30624,11.867385,89.767975,西青区,120111,天津市,120000,天津市,120000,Eastern
25,622052,22695,1.6807674,20.948393,22.854654,9.5538607,85.136497,5.6894155,77.742523,4.0299387,14.789619,10.455384,88.485947,3799700,46800,9.0339985,22.106157,24.586996,11.159262,91.632698,5.7146025,79.725502,3.9559407,13.73473,10.741994,96.037201,6031086,50437,10.835584,22.063715,24.683006,11.826053,92.714554,5.7316089,81.092918,3.8592906,12.469398,12.011551,94.388023,津南区,120112,天津市,120000,天津市,120000,Eastern
26,837642,47688,2.6424038,21.003962,22.899782,9.6308365,84.980499,5.5123477,52.314346,5.3582363,44.842617,11.599532,85.137367,5629900,93100,15.065293,22.16873,24.585901,11.124604,91.082649,5.5538654,54.53204,5.3225503,43.270596,11.727882,88.227951,7225043,51986,15.41507,22.162313,24.686424,11.803503,91.987045,5.6140771,57.916363,5.2423158,39.934418,11.945501,86.096512,北辰区,120113,天津市,120000,天津市,120000,Eastern
27,916984,164463,1.1437994,21.877913,23.053162,9.3990593,69.125793,5.3645821,13.578866,7.181983,83.589325,10.928872,26.405506,4555100,314100,5.3244886,23.103146,24.688971,10.957273,79.522118,5.4452538,14.719695,7.1721449,82.770973,10.93528,36.66637,9418768,402899,8.5625162,23.068232,24.780455,11.680454,81.953583,5.6017375,17.213089,7.1520104,81.121086,11.052171,38.237373,武清区,120114,天津市,120000,天津市,120000,Eastern
28,792834,101913,1.2208716,21.906025,23.025194,9.2681417,67.344902,4.2834268,4.8022423,7.2554312,93.792755,10.710246,22.67577,3233300,240400,4.7836962,23.150551,24.654133,10.86947,77.766769,4.4056873,5.4267678,7.2370973,92.088814,10.708408,24.818069,4186625,384617,5.5342035,23.052656,24.734217,11.596645,81.391663,4.5537553,6.2928348,7.2244453,90.931068,10.922194,21.894016,宝坻区,120115,天津市,120000,天津市,120000,Eastern
29,6671400,57300,,21.701468,23.076012,9.5507278,74.704514,6.3489914,21.214441,6.4596596,23.697044,10.482245,79.413254,62068700,88200,55.020565,22.850885,24.713203,11.068234,84.468781,6.3977666,22.274832,6.4968491,24.594925,10.866416,88.81871,67154919,249350,43.649605,22.796432,24.78908,11.787318,86.366592,6.420105,22.778021,6.3728018,21.725636,11.448988,76.293755,滨海新区,120116,天津市,120000,天津市,120000,Eastern
30,584600,87200,1.6238889,21.712318,22.972946,9.3087997,71.652397,4.618618,8.701108,6.9004784,85.226364,10.040228,37.658337,2249500,234900,5.7679486,22.903677,24.600708,10.830597,81.67733,4.685492,9.3028851,6.8991551,85.113663,10.1629,46.52784,3597339,301270,8.7314053,22.857874,24.695604,11.598162,84.082169,4.8190198,10.631829,6.8823605,83.696159,10.567604,44.041447,宁河区,120117,天津市,120000,天津市,120000,Eastern
31,678800,93600,1.3309804,21.831081,23.004803,9.2988453,69.07859,5.1420059,11.59159,7.1533108,86.62468,10.472477,25.964201,3436600,168800,5.4549208,23.006021,24.650097,10.904684,80.680893,5.2330937,12.697023,7.1376781,85.280991,10.572064,31.989265,4972315,244630,7.8601251,22.998461,24.745251,11.62804,82.566734,5.4296532,15.454909,7.073873,80.009628,10.755719,38.761131,静海区,120118,天津市,120000,天津市,120000,Eastern
32,754500,129300,.94312501,21.867167,23.00598,9.257206,67.98011,4.7491274,7.2635436,7.1955047,83.868103,10.869561,22.291109,2501100,237200,2.9775,23.194378,24.678013,10.852269,77.318825,4.7622848,7.359745,7.1771107,82.339516,10.902089,23.387518,2503992,403586,2.8532269,23.17453,24.752649,11.572622,79.363716,4.8179064,7.7807045,7.0888906,75.386719,10.854541,23.495281,蓟州区,120119,天津市,120000,天津市,120000,Eastern
33,,,,18.324823,21.68955,9.3059292,96.542854,4.7251377,80.076187,3.334075,19.923813,12.992044,97.754555,,,,19.513357,23.405365,10.738971,97.959564,4.734107,80.797638,3.2971928,19.202368,13.320646,98.299232,6201654,7661,5.8899999,19.443386,23.518946,11.422916,98.301727,4.7689338,83.66114,3.1357055,16.338858,13.116113,97.627403,长安区,130102,石家庄市,130100,河北省,130000,Eastern
34,,,,16.876865,21.642056,9.3383064,99.147873,4.2053409,100,0,0,13.579924,100,,,,17.887373,23.393961,10.830986,99.594009,4.2053409,100,0,0,13.957264,100,7758653,924,7.9400001,17.866024,23.508274,11.503983,99.645515,4.2053409,100,0,0,13.943052,100,桥西区,130104,石家庄市,130100,河北省,130000,Eastern
35,,,,17.720591,21.649609,9.2964401,98.033699,4.4117393,90.789604,2.1235271,9.210393,12.760679,97.871323,,,,18.914757,23.376575,10.740744,98.845863,4.4178767,91.348526,2.0609238,8.6514711,13.191897,97.744064,4936656,4474,6.1599998,18.876949,23.48914,11.414478,99.006996,4.4191661,91.466408,2.047204,8.5335865,13.467524,97.633362,新华区,130105,石家庄市,130100,河北省,130000,Eastern
36,,,,18.351507,21.503223,8.9285326,95.722137,3.5843892,50.85825,2.7897463,22.974834,11.838997,84.492462,,,,19.463799,23.265238,10.500764,97.766144,3.600615,51.690193,3.5096145,47.194031,11.896173,91.715096,588147,3804,7.6599998,19.436314,23.411148,11.259882,98.121758,3.6059651,51.967491,3.4738839,45.53754,11.822549,91.259438,井陉矿区,130107,石家庄市,130100,河北省,130000,Eastern
37,,,,18.156523,21.645805,9.2456665,96.947723,4.6130009,94.263931,1.8136758,5.7360659,11.883799,96.087471,,,,19.199022,23.419413,10.814801,98.530708,4.6344914,96.311661,1.372077,3.6883337,12.338368,98.626099,4289358,815,5.52,19.126566,23.531992,11.488868,98.778908,4.6503744,97.853592,.8306967,2.1464055,13.465961,99.960144,裕华区,130108,石家庄市,130100,河北省,130000,Eastern
38,883852,192059,1.1784693,19.945166,21.736681,8.883955,83.329262,5.2787418,24.091867,6.4241619,75.739059,11.480747,40.455879,3905029,599692,4.8812861,21.147543,23.447041,10.464608,89.969078,5.309247,24.83812,6.416512,75.16188,11.206467,47.761055,5124883,475791,6.9299998,21.048531,23.570286,11.249393,91.968147,5.3505936,25.886606,6.4024639,74.113396,11.5247,51.561081,藁城区,130109,石家庄市,130100,河北省,130000,Eastern
39,735758,88600,2.0437722,19.642017,21.710886,8.964612,87.367134,5.6237631,45.083313,5.4732957,38.785439,11.116314,73.861984,2614124,200111,6.7028818,20.890297,23.457041,10.570082,92.321487,5.6462235,46.107349,5.7766056,52.528431,11.234106,79.281258,3502580,195480,5.9400001,20.819221,23.550581,11.244474,93.486931,5.6833682,47.852215,5.7394195,50.61097,11.20683,77.493301,鹿泉区,130110,石家庄市,130100,河北省,130000,Eastern
40,416002,117018,1.3000063,19.411194,21.640532,8.9240484,89.240036,4.6513681,29.806578,5.4998693,69.632401,11.23719,42.925755,1446088,277853,4.3820848,20.615929,23.396404,10.543731,93.799103,4.7103848,31.618607,5.48174,68.381393,11.174763,49.133369,1871031,159753,4.9299998,20.497938,23.520296,11.30256,95.131371,4.8174977,35.193398,5.4280467,64.806602,11.609857,56.925247,栾城区,130111,石家庄市,130100,河北省,130000,Eastern
41,292156,36518,.88999999,20.279238,21.742834,8.651207,76.859741,5.3430471,15.153778,6.4957719,47.989136,10.254423,50.36393,1201654,93275,3.6524436,21.534,23.439253,10.256878,85.12149,5.3430471,15.153778,6.986506,78.390953,9.8166313,49.16312,1090371,122330,4.3499999,21.464779,23.547436,11.015001,87.540131,5.3443818,15.174017,6.9319239,74.226891,10.077043,47.193382,井陉县,130121,石家庄市,130100,河北省,130000,Eastern
