id,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,regionid
39,12.095663,12.175223,12.260697,12.364878,12.565722,12.747262,12.877049,13.081022,13.279397,13.407904,13.629716,13.80943,13.928857,14.000635,14.077297,14.122244,14.171613,14.240479,14.319061,14.382216,14.409542,130110
40,12.057078,12.107076,12.17387,12.280536,12.527357,12.680429,12.835812,13.02765,13.210853,13.365802,13.56534,13.750736,13.867401,13.958874,14.051771,14.098228,14.148602,14.221732,14.305401,14.376811,14.406884,130111
41,11.921801,12.024638,12.102175,12.195574,12.443689,12.587878,12.719176,12.942187,13.090574,13.267253,13.467833,13.658911,13.824789,13.912754,13.990523,14.028386,14.080078,14.14819,14.213606,14.280447,14.307171,130121
42,12.067086,12.148916,12.233562,12.305069,12.548242,12.714639,12.818937,13.04638,13.231461,13.353112,13.560471,13.717901,13.875425,13.948219,14.035788,14.093543,14.150837,14.243095,14.339626,14.419012,14.427729,130123
43,11.952851,12.051197,12.142541,12.24401,12.39098,12.502455,12.632777,12.828231,13.03007,13.223202,13.45233,13.63088,13.723795,13.830791,13.907312,13.940571,14.004663,14.084498,14.154735,14.235636,14.254282,130125
44,11.941263,11.996056,12.078653,12.221919,12.411149,12.593123,12.738692,12.927098,13.159616,13.272842,13.471353,13.64321,13.78706,13.843029,13.91262,13.934117,13.980503,14.0762,14.216013,14.29738,14.309685,130126
45,11.920529,11.97718,12.072424,12.176094,12.361243,12.504322,12.67029,12.852221,13.040367,13.236501,13.399522,13.610991,13.734807,13.837611,13.900297,13.943436,13.987674,14.068873,14.149636,14.235671,14.276495,130127
46,11.89569,11.935009,12.077617,12.195541,12.373004,12.530765,12.654038,12.858389,13.022073,13.18865,13.40781,13.622096,13.712789,13.797668,13.87862,13.910168,13.955699,14.038703,14.114076,14.167459,14.198689,130128
47,11.894875,11.946779,12.051314,12.188416,12.415056,12.591233,12.683457,12.871911,13.089978,13.219501,13.417729,13.642348,13.789303,13.861856,13.924309,13.95422,14.00831,14.080395,14.138518,14.202936,14.232037,130129
48,11.934597,11.981298,12.105773,12.293379,12.466889,12.621887,12.75357,12.963093,13.130612,13.269778,13.444016,13.645478,13.77886,13.854844,13.936233,13.970585,14.026524,14.12049,14.197276,14.263111,14.297768,130130
